GenomeID	MEBS_SS	Comp_mean	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29
GCF_000014245.1_ASM1424v1	0.108	73.4	33.3	40.0	100.0	58.8	55.0	40.0	77.8	100.0	100.0	55.0	34.5	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	42.9	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000014265.1_ASM1426v1	3.532	58.4	66.7	40.0	100.0	47.1	45.0	30.0	55.6	0.0	80.0	60.0	34.5	0.0	66.7	100.0	50.0	31.2	58.3	57.1	71.4	42.9	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000014285.1_ASM1428v1	2.116	66.4	44.4	50.0	100.0	52.9	45.0	35.0	66.7	100.0	100.0	60.0	34.5	0.0	100.0	100.0	50.0	43.8	66.7	71.4	71.4	57.1	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000014345.1_ASM1434v1	0.105	36.1	33.3	20.0	100.0	11.8	35.0	10.0	33.3	0.0	60.0	20.0	20.7	0.0	33.3	50.0	28.6	12.5	33.3	14.3	42.9	14.3	0.0	28.6	36.4	100.0	100.0	100.0	0.0	100.0	8.3
GCF_000014385.1_ASM1438v1	-1.212	30.4	22.2	0.0	0.0	5.9	10.0	10.0	0.0	0.0	80.0	30.0	10.3	0.0	66.7	100.0	57.1	25.0	33.3	42.9	85.7	0.0	0.0	28.6	72.7	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000014405.1_ASM1440v1	-1.558	27.0	11.1	20.0	0.0	0.0	10.0	0.0	11.1	0.0	100.0	30.0	10.3	0.0	66.7	50.0	57.1	12.5	25.0	28.6	85.7	0.0	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000014425.1_ASM1442v1	-1.272	27.3	22.2	20.0	0.0	0.0	10.0	0.0	11.1	0.0	80.0	30.0	10.3	0.0	33.3	100.0	57.1	6.2	33.3	28.6	85.7	0.0	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000014445.1_ASM1444v1	-1.467	38.6	22.2	20.0	0.0	0.0	10.0	0.0	11.1	0.0	80.0	35.0	10.3	0.0	33.3	100.0	57.1	6.2	33.3	42.9	85.7	0.0	0.0	0.0	72.7	100.0	100.0	100.0	100.0	100.0	0.0
GCF_000014465.1_ASM1446v1	-2.239	29.9	22.2	20.0	0.0	0.0	10.0	0.0	11.1	0.0	80.0	30.0	10.3	0.0	33.3	100.0	50.0	6.2	58.3	85.7	85.7	0.0	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000014505.1_ASM1450v1	-1.099	30.3	22.2	10.0	0.0	0.0	10.0	0.0	11.1	0.0	100.0	35.0	13.8	0.0	66.7	100.0	57.1	12.5	33.3	42.9	85.7	14.3	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000014525.1_ASM1452v1	-0.964	32.2	22.2	20.0	0.0	0.0	15.0	0.0	11.1	0.0	100.0	40.0	17.2	0.0	100.0	100.0	57.1	18.8	25.0	28.6	85.7	28.6	0.0	0.0	63.6	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000014565.1_ASM1456v1	1.787	77.2	55.6	40.0	100.0	76.5	55.0	55.0	77.8	100.0	100.0	70.0	37.9	100.0	100.0	100.0	71.4	62.5	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000014585.1_ASM1458v1	2.642	56.7	55.6	30.0	0.0	41.2	45.0	30.0	55.6	100.0	80.0	55.0	31.0	0.0	66.7	100.0	50.0	37.5	50.0	42.9	71.4	42.9	0.0	71.4	54.5	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000014665.1_ASM1466v1	2.984	72.0	44.4	50.0	100.0	64.7	65.0	50.0	77.8	100.0	100.0	70.0	48.3	0.0	100.0	100.0	57.1	50.0	83.3	100.0	85.7	71.4	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000014705.1_ASM1470v1	2.332	72.0	44.4	50.0	100.0	64.7	60.0	50.0	77.8	100.0	100.0	65.0	48.3	0.0	100.0	100.0	57.1	50.0	83.3	100.0	85.7	71.4	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000014725.1_ASM1472v1	3.204	63.4	55.6	10.0	100.0	58.8	50.0	45.0	66.7	100.0	80.0	40.0	34.5	0.0	33.3	100.0	57.1	37.5	83.3	100.0	85.7	28.6	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000014745.1_ASM1474v1	0.2	71.5	44.4	40.0	100.0	58.8	55.0	35.0	77.8	100.0	60.0	50.0	37.9	100.0	66.7	100.0	71.4	50.0	91.7	100.0	85.7	57.1	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000014765.1_ASM1476v1	-1.385	56.3	33.3	40.0	100.0	35.3	45.0	20.0	33.3	0.0	80.0	65.0	27.6	0.0	33.3	100.0	57.1	31.2	75.0	85.7	85.7	42.9	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	8.3
GCF_000014785.1_ASM1478v1	5.308	69.0	44.4	50.0	100.0	64.7	65.0	50.0	77.8	100.0	80.0	60.0	51.7	0.0	33.3	100.0	57.1	43.8	75.0	85.7	85.7	71.4	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	66.7
GCF_000014805.1_ASM1480v1	3.697	71.7	55.6	40.0	100.0	76.5	60.0	60.0	77.8	100.0	100.0	70.0	48.3	0.0	66.7	100.0	57.1	43.8	83.3	85.7	85.7	71.4	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000014825.1_ASM1482v1	2.111	72.8	55.6	70.0	100.0	58.8	45.0	45.0	66.7	100.0	100.0	70.0	55.2	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	57.1	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000014865.1_ASM1486v1	6.864	68.3	44.4	60.0	100.0	76.5	65.0	60.0	77.8	100.0	60.0	55.0	51.7	0.0	33.3	100.0	50.0	37.5	75.0	85.7	71.4	71.4	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	75.0
GCF_000014885.1_ASM1488v1	2.665	69.8	66.7	40.0	100.0	64.7	60.0	50.0	77.8	100.0	80.0	65.0	51.7	0.0	33.3	100.0	57.1	43.8	91.7	100.0	85.7	71.4	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000014905.1_ASM1490v1	1.746	75.4	66.7	50.0	100.0	70.6	55.0	55.0	77.8	100.0	80.0	60.0	44.8	100.0	100.0	100.0	71.4	50.0	83.3	85.7	85.7	42.9	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000014925.1_ASM1492v1	-2.331	67.7	66.7	50.0	100.0	41.2	40.0	30.0	55.6	100.0	100.0	65.0	41.4	0.0	100.0	100.0	50.0	50.0	83.3	85.7	71.4	57.1	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000014965.1_ASM1496v1	10.342	54.5	66.7	30.0	0.0	76.5	75.0	60.0	77.8	0.0	80.0	60.0	44.8	0.0	66.7	100.0	57.1	56.2	75.0	100.0	85.7	57.1	0.0	57.1	72.7	0.0	0.0	0.0	100.0	100.0	83.3
GCF_000015005.1_ASM1500v1	2.855	72.9	55.6	30.0	100.0	76.5	60.0	55.0	77.8	100.0	100.0	65.0	37.9	0.0	100.0	100.0	57.1	62.5	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015025.1_ASM1502v1	3.198	64.8	44.4	40.0	100.0	52.9	55.0	50.0	55.6	100.0	80.0	55.0	34.5	0.0	66.7	100.0	50.0	43.8	75.0	85.7	71.4	57.1	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015045.1_ASM1504v1	5.176	59.2	44.4	20.0	0.0	64.7	55.0	40.0	66.7	100.0	80.0	60.0	31.0	0.0	66.7	100.0	57.1	37.5	50.0	42.9	85.7	57.1	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015085.1_ASM1508v1	4.589	59.1	44.4	40.0	0.0	41.2	40.0	35.0	77.8	100.0	80.0	45.0	31.0	100.0	66.7	100.0	64.3	37.5	25.0	28.6	85.7	28.6	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015105.1_ASM1510v1	8.87	53.6	66.7	60.0	0.0	58.8	70.0	40.0	55.6	100.0	40.0	50.0	44.8	0.0	33.3	0.0	50.0	31.2	25.0	0.0	71.4	71.4	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	66.7
GCF_000015125.1_ASM1512v1	8.974	60.6	44.4	60.0	50.0	76.5	70.0	55.0	77.8	0.0	80.0	45.0	48.3	0.0	33.3	100.0	50.0	37.5	50.0	42.9	71.4	71.4	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	83.3
GCF_000015145.1_ASM1514v1	9.23	27.9	66.7	10.0	0.0	52.9	45.0	45.0	66.7	0.0	80.0	40.0	31.0	0.0	33.3	0.0	42.9	25.0	25.0	0.0	42.9	14.3	0.0	0.0	54.5	0.0	0.0	0.0	0.0	75.0	58.3
GCF_000015165.1_ASM1516v1	1.804	77.9	55.6	70.0	100.0	58.8	45.0	45.0	66.7	100.0	100.0	70.0	55.2	100.0	100.0	100.0	71.4	68.8	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015185.1_ASM1518v1	2.467	71.8	44.4	50.0	100.0	64.7	60.0	50.0	77.8	100.0	100.0	70.0	48.3	0.0	100.0	100.0	57.1	50.0	83.3	100.0	85.7	71.4	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015205.1_ASM1520v1	8.15	47.6	55.6	10.0	0.0	58.8	65.0	40.0	77.8	100.0	60.0	45.0	37.9	0.0	66.7	100.0	50.0	31.2	66.7	85.7	71.4	57.1	0.0	14.3	54.5	0.0	0.0	0.0	100.0	75.0	58.3
GCF_000015225.1_ASM1522v1	7.115	30.9	33.3	10.0	0.0	52.9	40.0	45.0	77.8	0.0	60.0	35.0	31.0	0.0	33.3	100.0	42.9	25.0	25.0	28.6	42.9	28.6	0.0	14.3	45.5	0.0	0.0	0.0	0.0	75.0	50.0
GCF_000015245.1_ASM1524v1	2.747	68.5	44.4	50.0	100.0	64.7	60.0	50.0	77.8	100.0	80.0	65.0	48.3	0.0	33.3	100.0	57.1	37.5	91.7	100.0	85.7	71.4	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015265.1_ASM1526v1	2.385	69.7	44.4	40.0	0.0	64.7	65.0	45.0	77.8	100.0	100.0	65.0	41.4	0.0	100.0	100.0	57.1	68.8	91.7	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015285.1_ASM1528v1	0.217	68.7	55.6	40.0	100.0	47.1	50.0	30.0	55.6	100.0	100.0	65.0	37.9	0.0	100.0	100.0	64.3	56.2	75.0	85.7	85.7	71.4	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000015305.1_ASM1530v1	0.247	70.6	44.4	40.0	100.0	52.9	55.0	40.0	66.7	100.0	100.0	70.0	34.5	0.0	100.0	100.0	57.1	56.2	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000015325.1_ASM1532v1	-0.804	74.0	44.4	40.0	100.0	58.8	55.0	35.0	77.8	100.0	100.0	65.0	34.5	100.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000015345.1_ASM1534v1	-1.395	39.8	33.3	10.0	100.0	11.8	35.0	10.0	11.1	100.0	80.0	35.0	20.7	0.0	0.0	100.0	28.6	12.5	50.0	42.9	28.6	14.3	0.0	42.9	36.4	100.0	100.0	100.0	0.0	50.0	0.0
GCF_000015365.1_ASM1536v1	0.294	69.1	44.4	50.0	100.0	58.8	60.0	30.0	77.8	100.0	100.0	65.0	41.4	0.0	66.7	100.0	57.1	50.0	83.3	100.0	85.7	71.4	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000015385.1_ASM1538v1	-0.898	20.9	22.2	20.0	0.0	0.0	10.0	0.0	11.1	0.0	80.0	25.0	10.3	0.0	33.3	50.0	35.7	6.2	16.7	14.3	42.9	0.0	0.0	0.0	27.3	0.0	0.0	0.0	100.0	100.0	0.0
GCF_000015445.1_ASM1544v1	0.103	36.4	33.3	20.0	0.0	23.5	35.0	20.0	33.3	100.0	60.0	25.0	20.7	0.0	66.7	100.0	28.6	31.2	50.0	42.9	71.4	14.3	0.0	42.9	54.5	0.0	0.0	0.0	100.0	75.0	8.3
GCF_000015485.1_ASM1548v1	11.442	52.5	66.7	30.0	0.0	76.5	75.0	55.0	77.8	100.0	80.0	60.0	41.4	0.0	66.7	100.0	57.1	37.5	41.7	28.6	85.7	57.1	0.0	28.6	72.7	0.0	0.0	0.0	100.0	100.0	83.3
GCF_000015505.1_ASM1550v1	2.77	76.3	55.6	50.0	100.0	64.7	55.0	45.0	77.8	100.0	100.0	65.0	41.4	100.0	100.0	100.0	64.3	56.2	91.7	100.0	85.7	42.9	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000015545.1_ASM1554v1	0.59	76.5	55.6	40.0	100.0	64.7	60.0	40.0	77.8	100.0	100.0	65.0	44.8	100.0	100.0	100.0	71.4	81.2	91.7	100.0	85.7	57.1	0.0	85.7	63.6	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000015565.1_ASM1556v1	-1.12	71.2	55.6	30.0	100.0	58.8	50.0	35.0	77.8	100.0	80.0	55.0	37.9	100.0	66.7	100.0	71.4	75.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	50.0	33.3
GCF_000015585.1_ASM1558v1	4.793	69.6	33.3	60.0	100.0	70.6	65.0	50.0	77.8	100.0	80.0	60.0	58.6	0.0	33.3	100.0	57.1	43.8	83.3	100.0	85.7	71.4	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000015645.1_ASM1564v1	2.118	50.3	55.6	30.0	50.0	23.5	40.0	15.0	22.2	0.0	60.0	55.0	31.0	0.0	66.7	100.0	50.0	25.0	50.0	42.9	71.4	42.9	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000015665.1_ASM1566v1	2.006	49.0	55.6	10.0	50.0	23.5	40.0	15.0	22.2	0.0	60.0	55.0	27.6	0.0	66.7	100.0	50.0	25.0	50.0	42.9	71.4	28.6	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000015705.1_ASM1570v1	2.839	49.7	55.6	30.0	0.0	35.3	45.0	20.0	22.2	0.0	60.0	55.0	31.0	0.0	66.7	100.0	50.0	25.0	50.0	42.9	71.4	42.9	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000015725.1_ASM1572v1	2.073	74.3	55.6	60.0	100.0	58.8	55.0	40.0	77.8	100.0	100.0	65.0	44.8	0.0	100.0	100.0	64.3	81.2	91.7	100.0	85.7	57.1	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000015745.1_ASM1574v1	3.054	67.9	77.8	50.0	0.0	58.8	55.0	40.0	77.8	0.0	100.0	65.0	37.9	100.0	100.0	100.0	64.3	50.0	83.3	85.7	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015765.1_ASM1576v1	4.358	57.1	44.4	0.0	100.0	52.9	50.0	35.0	44.4	100.0	80.0	60.0	31.0	0.0	66.7	100.0	50.0	31.2	25.0	28.6	71.4	42.9	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015785.1_ASM1578v1	2.433	74.3	77.8	50.0	100.0	58.8	55.0	40.0	77.8	100.0	100.0	65.0	41.4	100.0	100.0	100.0	64.3	50.0	75.0	85.7	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000015825.1_ASM1582v1	5.477	48.1	33.3	20.0	100.0	52.9	50.0	35.0	55.6	100.0	100.0	50.0	31.0	0.0	100.0	100.0	50.0	31.2	25.0	28.6	71.4	57.1	0.0	14.3	63.6	0.0	0.0	0.0	100.0	75.0	50.0
GCF_000015845.1_ASM1584v1	2.204	72.7	55.6	50.0	100.0	64.7	60.0	50.0	77.8	100.0	100.0	70.0	51.7	0.0	100.0	100.0	57.1	50.0	83.3	100.0	85.7	71.4	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015865.1_ASM1586v1	2.593	54.0	33.3	10.0	100.0	41.2	50.0	30.0	22.2	0.0	80.0	55.0	31.0	0.0	66.7	100.0	57.1	31.2	33.3	42.9	85.7	42.9	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000015885.1_ASM1588v1	3.982	64.4	55.6	30.0	0.0	64.7	60.0	50.0	77.8	100.0	100.0	70.0	48.3	0.0	100.0	100.0	64.3	50.0	41.7	42.9	85.7	71.4	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000015945.1_ASM1594v1	7.111	27.2	66.7	10.0	0.0	23.5	35.0	20.0	22.2	0.0	80.0	40.0	20.7	0.0	66.7	0.0	35.7	18.8	25.0	0.0	42.9	14.3	0.0	14.3	36.4	0.0	0.0	0.0	100.0	75.0	41.7
GCF_000015965.1_ASM1596v1	1.609	51.4	55.6	30.0	100.0	23.5	40.0	15.0	22.2	0.0	60.0	55.0	27.6	0.0	66.7	100.0	50.0	25.0	50.0	42.9	71.4	28.6	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	16.7
GCF_000015985.1_ASM1598v1	3.446	76.1	66.7	70.0	100.0	58.8	45.0	45.0	66.7	100.0	100.0	60.0	51.7	100.0	100.0	100.0	64.3	56.2	100.0	100.0	85.7	42.9	0.0	71.4	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016065.1_ASM1606v1	2.464	70.8	55.6	50.0	100.0	64.7	60.0	50.0	77.8	100.0	80.0	65.0	48.3	0.0	66.7	100.0	57.1	43.8	91.7	100.0	85.7	71.4	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016085.1_ASM1608v1	8.116	57.2	33.3	60.0	0.0	76.5	70.0	50.0	77.8	0.0	60.0	55.0	41.4	0.0	33.3	100.0	42.9	37.5	50.0	42.9	71.4	71.4	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	75.0
GCF_000016125.1_ASM1612v1	5.947	57.4	33.3	10.0	100.0	52.9	45.0	45.0	66.7	100.0	100.0	45.0	27.6	0.0	66.7	100.0	57.1	37.5	25.0	28.6	71.4	28.6	0.0	28.6	63.6	100.0	100.0	100.0	100.0	75.0	58.3
GCF_000016165.1_ASM1616v1	8.706	56.9	66.7	10.0	100.0	70.6	75.0	50.0	66.7	100.0	80.0	50.0	41.4	0.0	66.7	100.0	50.0	43.8	83.3	85.7	71.4	57.1	0.0	42.9	63.6	0.0	0.0	0.0	100.0	100.0	75.0
GCF_000016185.1_ASM1618v1	1.225	62.9	44.4	40.0	100.0	58.8	45.0	40.0	66.7	0.0	80.0	65.0	41.4	0.0	66.7	100.0	64.3	37.5	91.7	100.0	85.7	42.9	0.0	57.1	63.6	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000016205.1_ASM1620v1	0.786	76.3	44.4	40.0	100.0	64.7	55.0	45.0	77.8	100.0	100.0	70.0	34.5	100.0	100.0	100.0	71.4	81.2	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000016265.1_ASM1626v1	-1.84	73.3	44.4	50.0	100.0	52.9	45.0	35.0	66.7	100.0	100.0	65.0	34.5	100.0	100.0	100.0	71.4	50.0	100.0	100.0	85.7	42.9	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000016285.1_ASM1628v1	-1.788	72.5	44.4	50.0	100.0	52.9	45.0	35.0	66.7	100.0	100.0	60.0	34.5	100.0	100.0	100.0	71.4	43.8	91.7	100.0	85.7	42.9	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	25.0
GCF_000016325.1_ASM1632v1	2.263	73.8	55.6	20.0	100.0	58.8	60.0	45.0	77.8	100.0	100.0	70.0	44.8	100.0	100.0	100.0	64.3	50.0	75.0	85.7	85.7	71.4	0.0	42.9	81.8	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016345.1_ASM1634v1	1.265	74.5	55.6	70.0	100.0	58.8	50.0	35.0	77.8	100.0	100.0	55.0	41.4	100.0	100.0	100.0	64.3	50.0	75.0	100.0	85.7	57.1	0.0	71.4	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016365.1_ASM1636v1	-0.938000000000001	69.9	44.4	40.0	100.0	52.9	55.0	35.0	66.7	100.0	100.0	70.0	34.5	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000016405.1_ASM1640v1	4.504	77.6	77.8	60.0	100.0	64.7	50.0	50.0	77.8	100.0	100.0	60.0	62.1	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	42.9	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	66.7
GCF_000016425.1_ASM1642v1	2.454	71.0	66.7	40.0	100.0	52.9	60.0	35.0	66.7	100.0	100.0	55.0	37.9	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	57.1	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016525.1_ASM1652v1	5.488	56.3	33.3	0.0	100.0	52.9	45.0	45.0	55.6	100.0	100.0	35.0	24.1	0.0	66.7	100.0	64.3	37.5	25.0	28.6	85.7	14.3	0.0	14.3	72.7	100.0	100.0	100.0	100.0	75.0	58.3
GCF_000016545.1_ASM1654v1	3.995	55.2	44.4	10.0	0.0	58.8	50.0	40.0	66.7	0.0	80.0	50.0	34.5	0.0	66.7	100.0	57.1	37.5	50.0	71.4	85.7	57.1	0.0	28.6	63.6	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016565.1_ASM1656v1	-0.407000000000001	75.0	44.4	70.0	100.0	47.1	50.0	35.0	55.6	100.0	100.0	65.0	41.4	100.0	100.0	100.0	64.3	43.8	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000016605.1_ASM1660v1	6.753	56.4	66.7	30.0	100.0	58.8	55.0	40.0	77.8	100.0	60.0	40.0	41.4	100.0	66.7	100.0	64.3	37.5	75.0	85.7	71.4	57.1	0.0	28.6	54.5	0.0	0.0	0.0	100.0	75.0	50.0
GCF_000016645.1_ASM1664v1	0.936	73.1	55.6	40.0	100.0	64.7	55.0	45.0	77.8	100.0	100.0	50.0	37.9	100.0	100.0	100.0	64.3	50.0	83.3	85.7	85.7	42.9	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000016665.1_ASM1666v1	5.58	68.1	77.8	40.0	100.0	52.9	50.0	45.0	77.8	100.0	100.0	35.0	44.8	0.0	100.0	100.0	57.1	37.5	83.3	85.7	85.7	28.6	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000016725.1_ASM1672v1	2.602	77.2	55.6	60.0	100.0	64.7	60.0	45.0	77.8	100.0	100.0	65.0	41.4	100.0	100.0	100.0	64.3	62.5	91.7	100.0	85.7	57.1	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016745.1_ASM1674v1	5.334	65.1	44.4	30.0	0.0	76.5	65.0	60.0	77.8	100.0	80.0	65.0	37.9	0.0	66.7	100.0	57.1	50.0	75.0	85.7	85.7	42.9	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	58.3
GCF_000016765.1_ASM1676v1	-0.305	71.7	55.6	60.0	100.0	58.8	50.0	35.0	77.8	100.0	100.0	60.0	37.9	0.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	42.9	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000016885.1_ASM1688v1	2.753	69.2	55.6	30.0	100.0	52.9	60.0	35.0	66.7	100.0	100.0	50.0	34.5	0.0	100.0	100.0	57.1	50.0	91.7	100.0	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016905.1_ASM1690v1	1.149	29.7	33.3	10.0	50.0	23.5	30.0	20.0	11.1	0.0	40.0	45.0	20.7	0.0	33.3	0.0	42.9	18.8	50.0	42.9	57.1	28.6	0.0	42.9	45.5	0.0	0.0	0.0	100.0	100.0	16.7
GCF_000016965.1_ASM1696v1	3.358	65.8	44.4	20.0	0.0	64.7	50.0	50.0	66.7	100.0	80.0	55.0	34.5	100.0	66.7	100.0	64.3	43.8	58.3	85.7	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0
GCF_000016985.1_ASM1698v1	1.871	55.9	33.3	30.0	0.0	58.8	50.0	35.0	66.7	0.0	80.0	50.0	34.5	100.0	66.7	0.0	64.3	43.8	58.3	42.9	85.7	57.1	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000017005.1_ASM1700v1	-1.177	35.2	22.2	20.0	0.0	11.8	15.0	15.0	11.1	100.0	80.0	40.0	10.3	0.0	33.3	100.0	50.0	18.8	41.7	57.1	85.7	0.0	0.0	28.6	72.7	0.0	0.0	0.0	100.0	100.0	8.3
GCF_000017025.1_ASM1702v1	2.089	56.0	22.2	10.0	0.0	47.1	45.0	35.0	33.3	100.0	80.0	50.0	31.0	0.0	66.7	100.0	42.9	31.2	83.3	85.7	57.1	57.1	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	33.3
GCF_000017145.1_ASM1714v1	0.323	75.6	55.6	60.0	100.0	64.7	50.0	40.0	77.8	100.0	100.0	65.0	37.9	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	42.9	0.0	85.7	72.7	100.0	100.0	100.0	100.0	100.0	41.7
GCF_000017165.1_ASM1716v1	6.106	48.0	33.3	10.0	100.0	52.9	45.0	45.0	66.7	100.0	100.0	45.0	27.6	0.0	100.0	100.0	57.1	43.8	25.0	28.6	57.1	28.6	0.0	28.6	63.6	0.0	0.0	0.0	100.0	75.0	58.3
GCF_000017185.1_ASM1718v1	6.328	55.2	33.3	10.0	100.0	64.7	55.0	45.0	66.7	100.0	100.0	60.0	37.9	0.0	66.7	0.0	57.1	37.5	8.3	0.0	71.4	71.4	0.0	28.6	54.5	100.0	100.0	100.0	100.0	75.0	58.3
GCF_000017205.1_ASM1720v1	1.081	72.5	44.4	30.0	100.0	64.7	60.0	40.0	77.8	100.0	100.0	65.0	41.4	0.0	100.0	100.0	64.3	50.0	91.7	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	50.0
