	sulfur	carbon	oxygen	iron	nitrogen
Salmonella bongori NCTC 12419	4.18	5.544	2.792	5.671	14.359
Kosmotoga olearia TBF 19.5.1	4.176	4.863	-0.163	0.47	5.683
Candidatus Methanoplasma termitum	4.168	28.629	3.099	0.529	5.719
Pelosinus fermentans JBW45	4.162	11.263	3.126	4.816	11.999
[Clostridium] cellulosi	4.155	7.666	3.566	0.906	6.935
Nitrosococcus halophilus Nc 4	4.152	15.268	3.246	8.551	15.925
Aeromonas veronii B565	4.142	6.389	2.493	8.038	14.147
Streptosporangium roseum DSM 43021	4.128	3.379	4.222	2.54	16.735
Synechococcus sp. JA-3-3Ab	4.078	8.443	7.495	3.442	13.257
Saccharopolyspora erythraea NRRL 2338	4.069	4.998	3.448	2.648	16.503
Helicobacter felis ATCC 49179	4.062	3.846	1.723	7.3	9.404
Candidatus Thioglobus singularis PS1	4.045	6.124	3.768	3.982	12.276
Anoxybacillus gonensis	4.044	5.408	3.468	7.849	11.798
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4.036	5.844	2.019	5.671	14.281
Candidatus Koribacter versatilis Ellin345	4.029	5.996	3.705	6.308	15.742
Campylobacter hominis ATCC BAA-381	4.008	6.678	0.811	7.955	9.958
Actinobacillus succinogenes 130Z	3.997	3.498	1.68	5.529	9.374
Caldicellulosiruptor saccharolyticus DSM 8903	3.995	12.259	4.063	0.47	9.063
Methylocystis sp. SC2	3.983	21.826	5.922	6.46	18.215
Actinobacillus pleuropneumoniae serovar 5b str. L20	3.982	4.4	0.653	4.66	7.882
bacterium L21-Spi-D4	3.981	3.211	0.917	6.252	9.06
Paenibacillus durus ATCC 35681	3.958	5.739	5.485	3.739	13.267
Oscillatoria nigro-viridis PCC 7112	3.953	12.782	7.288	3.809	17.168
Dechloromonas aromatica RCB	3.941	10.055	6.47	10.322	17.139
Dictyoglomus thermophilum H-6-12	3.924	7.009	1.207	0.901	4.948
Veillonella parvula DSM 2008	3.904	4.508	2.311	1.602	6.905
Candidatus Accumulibacter phosphatis clade IIA str. UW-1	3.884	7.351	5.814	10.241	15.939
Acidianus hospitalis W1	3.88	3.614	0.501	2.061	9.039
Paenibacillus sp. FSL R7-0331	3.861	5.326	6.115	3.597	13.798
Clostridium ljungdahlii DSM 13528	3.856	15.013	3.677	0.956	8.785
Rhodobacter capsulatus SB 1003	3.849	9.72	5.862	7.882	16.084
Haemophilus ducreyi 35000HP	3.847	1.623	0.131	4.461	5.653
Nocardiopsis alba ATCC BAA-2165	3.821	3.829	3.675	2.719	14.94
Cyanobacterium aponinum PCC 10605	3.803	8.606	7.673	4	15.221
Cyanothece sp. PCC 7425	3.796	8.491	7.577	4.113	16.307
Cyanothece sp. PCC 7424	3.79	11.458	6.815	3.848	16.698
Paracoccus denitrificans PD1222	3.79	4.875	3.598	7.12	16.673
Metallosphaera cuprina Ar-4	3.789	2.888	1.306	2.136	10.865
Pleurocapsa sp. PCC 7327	3.787	8.888	6.204	4.809	18.213
Helicobacter hepaticus ATCC 51449	3.783	2.754	0.566	6.669	9.619
Azoarcus sp. KH32C	3.78	18.743	5.369	9.184	18.005
Paenibacillus stellifer	3.776	6.273	4.977	1.734	11.023
Shimwellia blattae DSM 4481 = NBRC 105725	3.766	5.54	2.669	6.123	15.331
Kosmotoga pacifica	3.757	5.826	0.088	4.083	6.141
Paenibacillus larvae subsp. larvae DSM 25430	3.738	5.065	4.594	4.133	13.015
Candidatus Nitrospira inopinata	3.737	4.147	2.36	5.861	16.348
Blautia sp. YL58	3.73	14.496	2.239	0.741	8.594
Thermotoga caldifontis AZM44c09	3.73	2.861	0.042	0.536	4.18
Paenibacillus odorifer	3.709	5.17	6.495	3.539	12.479
Pelosinus sp. UFO1	3.706	8.023	3.136	4.619	13.176
Synechococcus sp. JA-2-3B'a(2-13)	3.704	11.596	7.18	3.442	13.65
Geitlerinema sp. PCC 7407	3.7	10.051	7.835	4.097	15.941
Aeromonas hydrophila subsp. hydrophila ATCC 7966	3.697	5.323	2.812	9.214	15.329
Gilliamella apicola	3.696	3.684	2.253	2.113	8.177
Rubrobacter xylanophilus DSM 9941	3.683	8.022	4.07	2.214	14.218
Clostridium aceticum	3.682	15.726	4.387	2.229	9
Stackebrandtia nassauensis DSM 44728	3.678	3.769	3.576	2.023	15.6
Synechococcus sp. PCC 7002	3.652	8.236	7.498	3.206	15.526
Methylomonas methanica MC09	3.651	18.434	7.61	5.651	17.436
Calothrix sp. 336/3	3.648	11.062	6.983	3.767	17.596
Edwardsiella ictaluri 93-146	3.646	4.391	1.744	5.729	12.633
Thermoanaerobacter italicus Ab9	3.631	5.46	2.655	0.866	7.485
Natronobacterium gregoryi SP2	3.626	8.32	1.737	2.577	11.179
Synechococcus elongatus PCC 6301	3.601	9.237	8.519	3.66	14.824
Alcaligenes faecalis	3.582	4.207	3.63	5.152	16.414
Shewanella halifaxensis HAW-EB4	3.559	7.861	2.732	10.026	12.527
Thauera sp. MZ1T	3.55	4.586	3.342	8.82	15.811
Trichodesmium erythraeum IMS101	3.532	12.49	7.247	4.281	16.266
Frischella perrara	3.519	3.998	1.877	0.647	7.725
Methylobacterium sp. 4-46	3.514	16.148	7.204	7.578	18.926
Paenibacillus polymyxa E681	3.511	2.985	2.878	1.95	9.955
Helicobacter cetorum MIT 99-5656	3.51	3.059	1.246	7.463	9.145
Morganella morganii subsp. morganii KT	3.484	5.413	2.065	3.194	13.214
Helicobacter cetorum MIT 00-7128	3.468	2.896	1.083	7.463	9.232
Gallionella capsiferriformans ES-2	3.466	5.865	4.305	7.335	12.073
Cyanothece sp. PCC 8801	3.447	8.001	6.561	3.99	16.983
Rhodobacter sphaeroides ATCC 17029	3.446	8.661	6.587	8.587	16.838
Natranaerobius thermophilus JW/NM-WN-LF	3.436	2.969	0.479	1.303	8.667
Roseobacter denitrificans OCh 114	3.43	9.781	5.781	6.546	17.133
Azoarcus sp. CIB	3.426	6.358	5.909	9.213	18.011
Pseudothermotoga hypogea DSM 11164 = NBRC 106472	3.424	1.793	0.241	0.536	4.411
Dechlorosoma suillum PS	3.415	6.732	5.514	8.697	16.774
Caldisericum exile AZM16c01	3.406	2.07	-0.64	1.122	6.464
Cycloclasticus sp. P1	3.398	6.112	3.892	4.538	13.279
Rivularia sp. PCC 7116	3.377	8.014	5.627	3.721	16.499
Pseudomonas balearica DSM 6083	3.372	6.91	4.248	8.259	16.091
Nostoc sp. PCC 7120	3.37	10.194	7.37	4.421	17.74
Clostridium beijerinckii NCIMB 8052	3.358	11.966	3.697	1.78	12.005
Clostridium saccharoperbutylacetonicum N1-4(HMT)	3.358	12.909	3.692	1.91	10.421
Helicobacter typhlonius	3.357	2.473	0.566	7.693	9.619
Rubrivivax gelatinosus IL144	3.35	20.824	6.585	9.673	16.67
Aminobacterium colombiense DSM 12261	3.345	6.445	-0.042	1.182	4.938
Fischerella sp. NIES-3754	3.343	10.225	6.711	4.281	17.613
Lawsonia intracellularis PHE/MN1-00	3.339	1.816	0.467	4.3	4.325
Oceanimonas sp. GK1	3.333	3.613	3.542	8.027	14.277
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	3.326	2.715	3.472	2.291	14.923
Mannheimia succiniciproducens MBEL55E	3.325	3.636	1.836	6.168	8.848
Thermoanaerobacterium xylanolyticum LX-11	3.311	5.235	1.679	1.167	6.912
Clostridium scatologenes	3.3	19.084	4.541	0.599	9.96
Thermanaerovibrio acidaminovorans DSM 6589	3.264	2.967	-0.273	0.723	4.234
Intrasporangium calvum DSM 43043	3.257	3.509	3.482	7.599	15.96
Candidatus Nitrosopumilus sp. AR2	3.256	5.773	2.524	2.492	9.997
Comamonadaceae bacterium B1	3.252	4.546	2.986	3.558	14.085
Hyphomicrobium denitrificans 1NES1	3.236	15.618	3.296	4.177	15.754
Proteus mirabilis HI4320	3.235	5.397	2.144	3.168	11.983
Clostridium sp. SY8519	3.233	8.043	3.738	1.554	9.233
Thermoanaerobacter wiegelii Rt8.B1	3.215	4.844	1.998	0.902	8.104
Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	3.204	4.729	1.488	4.514	7.783
Thermobaculum terrenum ATCC BAA-798	3.204	6.938	2.76	3.358	14.059
Acidothermus cellulolyticus 11B	3.198	3.885	3.674	3.106	14.351
Cyanothece sp. ATCC 51142	3.189	9.825	6.513	4.083	16.54
Clostridium pasteurianum BC1	3.184	8.279	4.02	1.317	11.851
Candidatus Nitrosotenuis cloacae	3.182	5.536	2.787	2.277	9.947
Nostoc sp. PCC 7107	3.168	10.165	6.788	3.843	17.7
Mycobacterium kansasii ATCC 12478	3.16	4.579	4.572	3.212	16.489
Haemophilus influenzae 86-028NP	3.157	1.162	-0.253	4.527	5.165
Psychrobacter arcticus 273-4	3.157	3.559	2.293	4.874	12.556
Nostoc sp. PCC 7524	3.155	13.632	7.44	3.924	16.948
Candidatus Baumannia cicadellinicola	3.155	1.307	2.525	0.979	6.905
Clostridium pasteurianum DSM 525 = ATCC 6013	3.149	8.99	4.068	1.608	11.389
Anabaena cylindrica PCC 7122	3.148	10.089	8.284	3.272	17.448
Helicobacter mustelae 12198	3.147	1.754	1.223	4.62	7.094
Bacillus sp. 1NLA3E	3.146	5.899	2.875	8.203	15.303
Bacillus sp. X1(2014)	3.143	3.709	2.832	3.288	12.536
Anabaena sp. wa102	3.143	10.27	6.556	3.628	16.891
Clostridium carboxidivorans P7	3.142	19.662	4.493	1.115	10.717
Paenibacillus polymyxa SC2	3.135	3.065	3.614	1.95	10.016
Plesiomonas shigelloides	3.134	5.436	2.292	7.756	14.062
Geobacillus subterraneus	3.131	4.966	2.762	4.236	14.289
Shewanella sediminis HAW-EB3	3.122	4.538	2.68	10.169	12.554
Arcobacter sp. L	3.114	6.666	4.876	4.588	15.376
Cyanobium gracile PCC 6307	3.111	8.078	6.945	4	15.304
Kosakonia sacchari SP1	3.088	7.673	4.632	2.094	15.065
Escherichia albertii KF1	3.087	6.341	2.241	6.187	14.389
Mycobacterium avium subsp. paratuberculosis K-10	3.084	2.888	4.484	2.165	15.348
Planktomarina temperata RCA23	3.081	6.909	6.257	4.038	15.901
Bacillus cytotoxicus NVH 391-98	3.079	3.363	3.837	3.668	13.205
Chroococcidiopsis thermalis PCC 7203	3.077	8.077	7.135	4.421	18.402
Thermosynechococcus elongatus BP-1	3.075	9.745	6.819	4.378	12.682
Methylophaga nitratireducenticrescens	3.058	16.029	4.97	4.019	15.123
Paenibacillus graminis	3.058	7.977	5.458	3.848	13.695
Paenibacillus riograndensis SBR5	3.058	7.973	6.09	3.848	14.44
Microcoleus sp. PCC 7113	3.055	11.962	7.221	3.843	17.934
Geobacillus thermodenitrificans NG80-2	3.054	4.796	3.22	4.021	12.816
Grimontia hollisae	3.054	3.269	3.235	8.25	12.294
Thiomonas intermedia K12	3.045	3.591	0.809	7.036	12.23
Calothrix sp. PCC 7507	3.041	11	6.589	3.843	16.509
Lysinibacillus varians	3.04	3.875	2.403	4.578	10.79
Candidatus Nitrosopelagicus brevis	3.033	2.397	2.787	2.659	9.475
'Nostoc azollae' 0708	3.029	9.285	7.493	3.272	15.114
Ignavibacterium album JCM 16511	3.028	3.935	1.275	7.09	10.439
Helicobacter cinaedi PAGU611	3.026	2.533	0.489	6.588	9.336
Rhodoferax ferrireducens T118	3.011	5.139	4.594	9.622	15.159
Sebaldella termitidis ATCC 33386	3.011	5.353	1.322	0.44	7.082
Yersinia rohdei	3.009	5.54	2.669	6.502	14.55
Thermotoga profunda AZM34c06	3.001	1.886	0.128	0.536	4.502
Bacillus thuringiensis MC28	2.996	4.418	4.878	3.726	14.921
[Clostridium] cellulolyticum H10	2.986	8.237	1.745	0.956	7.737
Shewanella sp. MR-7	2.984	4.676	2.835	10.026	11.066
Thiomicrospira crunogena XCL-2	2.984	6.495	3.643	5.108	13.885
Thermoanaerobacterium thermosaccharolyticum DSM 571	2.981	6.806	4.361	0.852	8.688
Rhodopseudomonas palustris TIE-1	2.979	10.155	7.652	8.984	17.942
Streptomyces sp. CdTB01	2.972	3.444	3.448	2.718	16.324
Microcystis aeruginosa NIES-2549	2.971	10.847	7.153	3.248	15.756
Pectobacterium atrosepticum SCRI1043	2.967	7.714	4.66	4.464	15.531
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	2.965	4.773	4.404	0.738	8.648
Haemophilus somnus 129PT	2.959	1.152	-0.286	4.603	5.59
Caldanaerobacter subterraneus subsp. tengcongensis MB4	2.958	7.306	0.86	1.117	7.039
Geobacillus sp. WCH70	2.954	4.616	3.566	3.963	12.982
Thermotoga neapolitana DSM 4359	2.939	5.294	1.55	1.052	6.882
Dinoroseobacter shibae DFL 12 = DSM 16493	2.934	9.78	5.912	7.436	17.597
Prochlorococcus marinus str. NATL2A	2.932	5.276	8.378	3.421	11.138
Prochlorococcus sp. MIT 0801	2.932	5.276	8.378	3.421	11.138
Paenibacillus sp. FSL H7-0357	2.932	4.693	5.453	3.848	13.122
Paenibacillus sp. FSL R7-0273	2.932	4.631	5.458	3.722	14.137
Oscillatoria acuminata PCC 6304	2.92	11.03	6.577	4.636	15.347
Synechococcus sp. RCC307	2.918	7.946	8.274	3.421	13.823
Roseobacter litoralis Och 149	2.913	9.78	5.912	6.404	17.1
Corynebacterium uterequi	2.899	1.647	2.789	2.533	11.317
Gallibacterium anatis UMN179	2.898	2.275	2.611	6.125	8.193
Bacillus coagulans 36D1	2.895	0.029	3.852	4.252	10.624
Nostoc punctiforme PCC 73102	2.892	10.956	6.73	3.502	17.308
Thermotoga maritima MSB8	2.892	5.169	1.55	1.052	7.144
Endomicrobium proavitum	2.886	4.998	3.593	0.938	7.468
Pasteurella multocida subsp. multocida str. Pm70	2.884	1.257	-0.014	5.155	6.664
Bacillus weihenstephanensis KBAB4	2.882	4.418	4.878	3.726	14.921
Enterobacter sp. FY-07	2.88	6.436	3.363	2.08	14.123
Melioribacter roseus P3M-2	2.878	3.292	3.052	7.1	12.805
Candidatus Nitrosopumilus adriaticus	2.858	5.751	2.739	2.568	9.748
Mycobacterium smegmatis str. MC2 155	2.855	3.501	4.612	2.346	15.467
Staphylococcus haemolyticus JCSC1435	2.851	0.663	2.956	1.685	9.632
Blastochloris viridis	2.849	4.842	5.656	7.693	15.106
Thioalkalimicrobium cyclicum ALM1	2.848	5.261	3.136	3.515	13.459
Mycobacterium chubuense NBB4	2.846	4.213	3.678	2.494	17.496
Prochlorococcus marinus str. MIT 9313	2.839	3.873	7.501	3.421	12.073
Prochlorococcus marinus str. MIT 9303	2.839	3.675	7.402	3.248	12.255
Francisella sp. FSC1006	2.838	2.2	1.164	1.674	8.265
Paenibacillus bovis	2.837	2.392	3.001	1.703	11.979
Terriglobus roseus DSM 18391	2.834	6.689	4.485	5.054	15.764
Methylomicrobium alcaliphilum 20Z	2.832	15.864	5.108	7.685	15.478
Dactylococcopsis salina PCC 8305	2.819	8.596	8.681	4.042	13.684
Treponema succinifaciens DSM 2489	2.812	6.065	1.825	1.161	3.677
Synechococcus sp. CC9902	2.8	4.644	8.274	3.282	14.098
Prochlorococcus sp. MIT 0604	2.791	6.921	7.124	3.421	11.375
Geobacillus kaustophilus HTA426	2.784	4.787	3.193	4.021	14.323
Dickeya zeae Ech586	2.775	6.243	2.924	1.72	13.784
Polaromonas naphthalenivorans CJ2	2.77	6.431	5.798	3.663	17.408
Yersinia intermedia	2.761	5.454	2.995	6.502	15.621
Opitutus terrae PB90-1	2.757	5.114	3.458	6.201	14.538
Psychrobacter sp. PRwf-1	2.753	3.387	2.812	8.568	13.165
Halorhabdus tiamatea SARL4B	2.751	9.605	2.761	3.519	10.77
Shewanella amazonensis SB2B	2.747	4.245	2.867	10.026	11.729
Microcystis aeruginosa NIES-843	2.745	10.191	7.188	4.042	15.396
Natronomonas pharaonis DSM 2160	2.738	10.274	3.37	2.354	12.747
Lactobacillus paraplantarum	2.736	4.455	0.066	0.356	3.09
Bacillus mycoides	2.735	4.174	3.786	3.668	14.093
Nitrospira moscoviensis	2.731	5.297	3.852	7.532	16.129
Thermoanaerobacter sp. X514	2.73	3.564	2.736	0.723	6.254
Pseudomonas brassicacearum subsp. brassicacearum NFM421	2.716	3.333	2.674	7.425	15.999
Rhodopseudomonas palustris BisB5	2.708	9.244	6.641	7.663	17.123
Ruegeria pomeroyi DSS-3	2.707	5.541	3.902	6.209	15.56
Alcanivorax dieselolei B5	2.697	2.669	4.597	7.615	13.887
Prochlorococcus marinus str. MIT 9312	2.696	5.529	7.441	3.421	10.751
Vibrio furnissii NCTC 11218	2.69	6.192	3.08	8.077	13.358
Pseudomonas fluorescens NCIMB 11764	2.69	3.698	4.451	5.17	16.631
Kosakonia oryzae	2.683	7.576	4.473	2.577	15.069
Micromonospora aurantiaca ATCC 27029	2.676	2.07	3.496	2.845	15.752
Celeribacter indicus	2.676	6.764	3.856	4.025	15.041
Pseudomonas sp. URMO17WK12:I11	2.676	3.78	4.325	7.639	17.1
Bacillus cereus ATCC 14579	2.673	1.996	3.835	3.726	13.763
Candidatus Symbiobacter mobilis CR	2.667	3.68	2.408	1.251	8.774
Shewanella piezotolerans WP3	2.665	4.452	2.754	9.529	13.202
Citrobacter amalonaticus Y19	2.661	7.626	3.033	7.519	14.524
Pasteurella multocida subsp. multocida OH4807	2.657	1.013	0.559	5.155	6.781
Thermomonospora curvata DSM 43183	2.645	4.359	3.671	2.494	15.58
Methylophaga frappieri	2.643	16.894	3.524	3.452	14.043
Synechococcus sp. CC9311	2.642	4.769	8.274	4.215	13.752
Gloeobacter kilaueensis JS1	2.637	8.096	6.389	3.219	16.083
Geobacillus genomosp. 3	2.635	4.111	3.045	4.236	14.32
Pseudothermotoga thermarum DSM 5069	2.63	3.218	0.456	0.536	5.435
Haemophilus parasuis SH0165	2.623	1.253	-0.45	5.021	6.496
Synechococcus sp. WH 7803	2.623	7.722	8.245	3.72	13.973
Treponema brennaborense DSM 12168	2.623	8.159	3.598	0.723	6.337
Ferrimonas balearica DSM 9799	2.622	4.525	2.754	9.853	12.914
Francisella philomiragia subsp. philomiragia ATCC 25017	2.621	2.907	0.739	0.306	8.413
Acidipropionibacterium acidipropionici ATCC 4875	2.61	3.807	3.86	3.473	14.568
Confluentimicrobium sp. EMB200-NS6	2.608	5.701	6.324	6.727	17.577
Alkaliphilus oremlandii OhILAs	2.606	3.228	1.364	2.331	7.285
Acidiphilium cryptum JF-5	2.602	5.028	3.325	3.918	14.456
Helicobacter pylori 26695	2.599	2.997	1.602	4.08	8.692
Helicobacter pylori HPAG1	2.599	3.336	1.602	4.08	8.692
Dickeya dadantii 3937	2.598	8.433	5.788	1.411	15.11
Ruminiclostridium thermocellum ATCC 27405	2.593	9.087	4.932	1.279	8.716
Octadecabacter temperatus	2.589	5.574	3.578	4.017	15.193
Streptomyces hygroscopicus subsp. jinggangensis 5008	2.586	3.567	4.582	2.971	16.113
Geobacillus sp. 12AMOR1	2.586	2.604	3.827	4.021	12.153
Streptomyces reticuli	2.586	3.469	3.645	2.723	15.931
Bacillus licheniformis DSM 13 = ATCC 14580	2.58	0.436	3.424	3.868	13.132
Lactobacillus plantarum JDM1	2.578	1.153	0.066	0.356	3.156
Haloarcula marismortui ATCC 43049	2.576	6.308	3.206	3.298	14.175
Vibrio harveyi	2.565	2.78	3.034	8.574	11.882
Candidatus Portiera aleyrodidarum BT-B-HRs	2.564	1.791	1.231	0.956	5.896
Pseudomonas mandelii JR-1	2.563	3.647	3.768	6.535	15.668
Serratia fonticola	2.562	5.4	3.886	6.49	15.918
Rhodopseudomonas palustris DX-1	2.56	10.155	7.652	9.571	17.82
Synechococcus sp. WH 8109	2.551	5.011	8.373	3.421	13.389
Phaeobacter gallaeciensis	2.544	4.367	4.615	4.535	16.251
Mycobacterium sinense	2.538	3.349	4.31	2.165	15.35
Rubinisphaera brasiliensis DSM 5305	2.537	13.404	3.56	5.774	12.429
Thauera humireducens	2.525	15.491	3.839	8.352	16.174
Synechococcus sp. KORDI-100	2.524	4.029	7.54	4.291	14.046
Candidatus Pantoea carbekii	2.52	4.963	2.056	0.647	7.647
Halobacterium hubeiense	2.517	8.371	2.512	2.818	12.01
Bacillus anthracis str. Ames	2.515	4.626	3.989	3.726	14.21
Rhodococcus equi 103S	2.506	3.728	4.465	2.418	15.801
Ilyobacter polytropus DSM 2926	2.505	4.67	4.196	1.245	9.587
Roseibacterium elongatum DSM 19469	2.504	5.27	6.067	4.76	15.465
Shewanella oneidensis MR-1	2.497	5.151	2.886	9.529	14.326
Clostridium sporogenes	2.495	5.529	3.032	1.064	8.494
Thermobispora bispora DSM 43833	2.493	4.235	3.528	3.999	14.411
Methylocella silvestris BL2	2.491	18.59	7.179	5.035	17.503
Meiothermus ruber DSM 1279	2.487	2.778	3.83	3.197	14.762
Staphylococcus condimenti	2.485	2.77	1.83	1.733	9.214
Leclercia adecarboxylata	2.483	5.848	2.142	2.03	13.73
Bradyrhizobium diazoefficiens USDA 110	2.474	6.805	7.335	7.935	19.282
Shewanella sp. W3-18-1	2.467	4.675	2.966	10.026	11.065
Shewanella loihica PV-4	2.464	3.938	2.867	10.026	11.93
Enterobacter lignolyticus SCF1	2.464	5.218	1.685	2.236	12.794
Bacillus cellulosilyticus DSM 2522	2.46	3.504	3.526	4.498	13.519
Natrinema pellirubrum DSM 15624	2.457	12.231	2.384	1.231	12.67
Halanaeroarchaeum sulfurireducens	2.457	7.651	1.316	1.26	8.21
Haloarcula hispanica ATCC 33960	2.455	6.344	3.515	2.951	13.939
Salinispora tropica CNB-440	2.454	2.204	3.373	2.165	14.973
Salinispora arenicola CNS-205	2.454	3.139	3.504	2.287	15.371
Oceanithermus profundus DSM 14977	2.454	2.279	2.278	6.256	13.337
Francisella sp. TX077308	2.448	3.246	0.069	0.822	8.862
Leptothrix cholodnii SP-6	2.444	17.105	6.006	8.271	18.024
Aeromonas salmonicida subsp. salmonicida A449	2.444	5.565	2.911	8.554	14.905
Bacillus velezensis FZB42	2.433	1.191	3.424	3.519	12.781
[Bacillus] selenitireducens MLS10	2.432	2.77	2.795	7.726	11.616
Paenibacillus sp. Y412MC10	2.429	2.718	3.654	3.848	12.743
Synechococcus sp. KORDI-52	2.425	4.866	8.798	3.421	13.813
Rhodomicrobium vannielii ATCC 17100	2.418	8.561	5.435	7.684	14.178
Treponema primitia ZAS-2	2.411	14.354	3.934	1.161	7.553
Aeromonas schubertii	2.408	5.974	3.133	9.571	14.626
Hahella chejuensis KCTC 2396	2.407	3.477	3.308	7.008	15.052
Lachnoclostridium phytofermentans ISDg	2.405	10.054	1.944	1.028	7.642
Leptolyngbya sp. PCC 7376	2.405	4.567	7.237	5.974	15.707
Mannheimia varigena USDA-ARS-USMARC-1296	2.393	3.45	0.851	4.732	7.408
Yersinia frederiksenii Y225	2.388	5.385	4.577	6.329	16.37
Nocardioides sp. JS614	2.385	2.875	3.402	3.41	15.171
Citrobacter koseri ATCC BAA-895	2.384	5.764	2.392	7.999	14.724
Paenibacillus terrae HPL-003	2.383	4.245	4.839	2.004	11.658
Citrobacter rodentium ICC168	2.372	5.54	2.669	6.187	14.914
Chelatococcus sp. CO-6	2.371	2.2	3.133	7.902	15.503
Bacillus pseudofirmus OF4	2.366	2.637	3.548	3.583	12.432
Azotobacter chroococcum NCIMB 8003	2.355	7.759	5.372	6.369	16.885
Photobacterium gaetbulicola Gung47	2.354	4.666	5.193	9.234	13.688
Terriglobus saanensis SP1PR4	2.352	6.148	4.263	5.905	15.447
Bacillus atrophaeus 1942	2.348	0.885	3.376	3.426	12.605
Bradyrhizobium icense	2.348	8.022	7.069	7.685	19.188
Methylobacterium radiotolerans JCM 2831	2.347	17.373	7.007	6.422	17.554
Escherichia coli str. K-12 substr. MG1655	2.345	5.942	2.956	6.065	14.562
Clostridium perfringens str. 13	2.343	3.149	-0.02	0.669	5.515
Staphylococcus carnosus subsp. carnosus TM300	2.341	2.443	2.47	2.265	9.693
Staphylococcus simulans	2.341	2.097	2.532	2.48	9.586
Yersinia enterocolitica subsp. enterocolitica 8081	2.338	5.603	2.846	6.387	15.183
Paenibacillus sp. FSL P4-0081	2.338	4.565	5.635	3.895	13.464
Yersinia aleksiciae	2.338	4.514	2.8	6.502	15.222
Serratia liquefaciens ATCC 27592	2.337	5.614	3.652	5.993	15.398
Shewanella frigidimarina NCIMB 400	2.332	4.749	2.735	9.602	12.811
Frankia alni ACN14a	2.332	5.236	6.291	2.474	18.001
Hyphomicrobium sp. MC1	2.331	19.779	6.957	8.005	18.763
Thermaerobacter marianensis DSM 12885	2.33	2.235	3.804	3.74	12.085
Serratia proteamaculans 568	2.328	5.554	3.729	5.993	15.398
Methylobacterium nodulans ORS 2060	2.324	16.775	6.938	4.96	18.436
Helicobacter pylori SouthAfrica7	2.32	2.603	1.602	3.931	8.382
Salinicoccus halodurans	2.318	0.154	3.838	3.424	10.708
Aeromonas hydrophila 4AK4	2.317	5.565	2.911	8.554	14.905
Escherichia fergusonii ATCC 35469	2.306	5.908	2.065	5.707	13.886
Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	2.297	-0.229	2.294	2.244	8.904
Marinitoga piezophila KA3	2.296	3.057	-0.199	0.536	4.726
Bacillus subtilis subsp. subtilis str. 168	2.289	1.191	3.424	3.304	12.781
Buchnera aphidicola str. Bp (Baizongia pistaciae)	2.288	2.098	1.527	1.078	6.24
Gloeobacter violaceus PCC 7421	2.282	7.709	6.421	3.303	15.95
Azoarcus sp. BH72	2.281	7.216	6.373	9.165	17.508
Ruminococcus bicirculans	2.281	6.488	4.935	0.693	6.076
Akkermansia muciniphila ATCC BAA-835	2.28	3.872	3.791	3.873	8.788
Vibrio sp. EJY3	2.28	5.32	5.436	9.731	14.982
Bacillus infantis NRRL B-14911	2.278	3.371	3.983	3.461	13.58
Stanieria cyanosphaera PCC 7437	2.276	7.158	7.003	3.821	16.081
Actinobacillus suis ATCC 33415	2.276	2.787	1.38	4.66	8.167
Citrobacter freundii CFNIH1	2.271	4.243	1.477	6.187	14.389
Citrobacter freundii	2.271	5.48	2.746	7.999	15.331
Clostridium cellulovorans 743B	2.268	5.459	3.84	1.064	8.513
Enterobacter sp. 638	2.263	5.848	2.142	1.636	13.214
Halopiger xanaduensis SH-6	2.254	11.245	3.154	1.303	13.7
Xanthobacter autotrophicus Py2	2.248	17.416	7.132	6.199	17.907
Synechococcus sp. CC9605	2.244	4.903	8.669	3.497	13.326
Sphaerobacter thermophilus DSM 20745	2.244	2.523	1.319	3.254	12.828
Raoultella ornithinolytica	2.242	7.818	5.234	3.918	16.583
Methylotenera mobilis JLW8	2.217	16.206	3.826	6.735	14.22
Granulicella mallensis MP5ACTX8	2.213	5.857	4.926	5.507	16.136
Bacteroides cellulosilyticus	2.208	7.208	0.866	4.633	8.734
Bacillus sp. OxB-1	2.207	1.635	3.367	3.461	10.128
Shewanella baltica OS155	2.204	4.541	3.089	9.529	11.844
Bacillus subtilis subsp. spizizenii str. W23	2.204	0.436	3.424	3.162	12.781
Candidatus Ishikawaella capsulata Mpkobe	2.204	3.705	2.613	0.956	7.577
Bacillus oceanisediminis 2691	2.203	2.155	3.782	3.848	15.559
Psychromonas sp. CNPT3	2.197	6.568	2.381	8.231	11.5
[Clostridium] clariflavum DSM 19732	2.197	13.354	4.894	0.992	8.997
Pseudomonas stutzeri RCH2	2.195	5.837	4.248	8.217	13.502
Pandoraea faecigallinarum	2.195	4.877	3.565	4.784	16.514
Helicobacter pylori 51	2.185	2.858	1.65	4.08	8.489
Thermomicrobium roseum DSM 5159	2.181	5.288	2.64	2.925	13.314
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	2.177	3.023	2.957	0.997	7.367
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	2.177	3.023	2.957	0.997	7.367
