# dom_assign_file=pfam_cover10/GENOMAS_NCBI_nr_24042014_size30_cover10.faa.pf.tab list_file=LISTA_AZUFREabril2014 dom_assign_file2=

# number of taxa in LISTA_AZUFREabril2014 = 93

	PF00005	PF00009	PF00034	PF00037	PF00106	PF00111	PF00124	PF00171	PF00174	PF00175	PF00202	PF00205	PF00258	PF00291	PF00296	PF00355	PF00374	PF00378	PF00384	PF00389	PF00441	PF00459	PF00484	PF00501	PF00528	PF00534	PF00556	PF00557	PF00581	PF00667	PF00848	PF00890	PF00970	PF01011	PF01058	PF01070	PF01077	PF01087	PF01208	PF01292	PF01370	PF01384	PF01507	PF01515	PF01547	PF01553	PF01568	PF01571	PF01583	PF01613	PF01747	PF02167	PF02332	PF02406	PF02515	PF02615	PF02635	PF02662	PF02665	PF02668	PF02770	PF02771	PF02775	PF02776	PF02826	PF02872	PF02910	PF03144	PF03358	PF03404	PF03460	PF03916	PF03967	PF04069	PF04077	PF04173	PF04295	PF04358	PF04663	PF04879	PF04945	PF05239	PF05398	PF06099	PF07680	PF07682	PF07883	PF07992	PF08669	PF08770	PF09084	PF09242	PF09459	PF10418	PF10518	PF11511	PF12139	PF12798	PF12806	PF12831	PF12838	PF12857	PF13183	PF13193	PF13237	PF13247	PF13360	PF13442	PF13501	PF13570	PF13577	PF13579	PF13746	PF14306
Chitinophaga pinensis DSM 2588	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0
Chlamydia muridarum str. Nigg	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia pecorum W73	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia psittaci WC	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia trachomatis RC-F(s)/852	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydophila abortus S26/3	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydophila caviae GPIC	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydophila felis Fe/C-56	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydophila pneumoniae LPCoLN	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobaculum parvum NCIB 8327	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
Chlorobium chlorochromatii CaD3	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1
Chlorobium limicola DSM 245	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0
Chlorobium luteolum DSM 273	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0
Chlorobium phaeobacteroides BS1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0
Chlorobium phaeobacteroides DSM 266	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0
Chlorobium phaeovibrioides DSM 265	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0
Chlorobium tepidum TLS	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1
Chloroflexus aggregans DSM 9485	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1
Chloroflexus sp. Y-400-fl	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	1
Chloroherpeton thalassium ATCC 35110	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0
Chromobacterium violaceum ATCC 12472	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0
Chromohalobacter salexigens DSM 3043	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0
Chroococcidiopsis thermalis PCC 7203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	1	1
Chthonomonas calidirosea T49	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
Citrobacter koseri ATCC BAA-895	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0
Citrobacter rodentium ICC168	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Clavibacter michiganensis subsp. michiganensis NCPPB 382	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Clavibacter michiganensis subsp. sepedonicus	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridiales genomosp. BVAB3 str. UPII9-5	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium acetobutylicum DSM 1731	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Clostridium acidurici 9a	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0
Clostridium beijerinckii NCIMB 8052	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Clostridium botulinum A3 str. Loch Maree	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0
Clostridium botulinum B str. Eklund 17B	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0
Clostridium botulinum BKT015925	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium botulinum Ba4 str. 657	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Clostridium botulinum E3 str. Alaska E43	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0
Clostridium cellulolyticum H10	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
Clostridium cellulovorans 743B	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Clostridium cf. saccharolyticum K10	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium clariflavum DSM 19732	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Clostridium difficile BI1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Clostridium kluyveri DSM 555	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0
Clostridium lentocellum DSM 5427	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Clostridium ljungdahlii DSM 13528	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Clostridium novyi NT	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Clostridium pasteurianum BC1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0
Clostridium perfringens ATCC 13124	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Clostridium phytofermentans ISDg	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0
Clostridium saccharobutylicum DSM 13864	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0
Clostridium saccharolyticum WM1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0
Clostridium sp. BNL1100	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0
