	sulfur	carbon	oxygen	iron	nitrogen
GCF_001047675.1_ASM104767v1_protein.faa.named.faa	2.139	4.514	2.800	6.502	15.222
GCF_000757785.1_ASM75778v1_protein.faa.named.faa	1.730	4.606	1.697	5.814	14.092
GCF_000270085.1_ASM27008v1_protein.faa.named.faa	-0.770	0.337	0.704	-0.081	0.717
GCF_000316665.1_ASM31666v1_protein.faa.named.faa	2.952	8.014	5.627	3.721	16.499
GCF_000183135.1_ASM18313v1_protein.faa.named.faa	1.078	6.044	5.704	4.761	10.930
GCF_000011245.1_ASM1124v1_protein.faa.named.faa	0.517	-0.359	4.280	3.377	10.480
GCF_000242335.1_ASM24233v3_protein.faa.named.faa	-0.648	1.465	-0.228	5.240	5.825
GCF_000830985.1_ASM83098v1_protein.faa.named.faa	0.782	1.498	2.271	2.181	11.451
GCF_000008465.1_ASM846v1_protein.faa.named.faa	-1.264	1.538	2.601	5.097	8.787
GCF_000011045.1_ASM1104v1_protein.faa.named.faa	-0.807	1.078	1.494	0.571	3.228
GCF_000019605.1_ASM1960v1_protein.faa.named.faa	4.999	6.362	-0.327	2.696	7.786
GCF_000026405.1_ASM2640v1_protein.faa.named.faa	-1.046	-0.008	0.948	-0.057	2.153
GCF_000253315.1_ASM25331v1_protein.faa.named.faa	0.223	-0.799	0.044	0.810	1.410
GCF_001050475.1_ASM105047v1_protein.faa.named.faa	0.868	0.828	0.676	0.401	3.042
GCF_000442435.1_ASM44243v1_protein.faa.named.faa	-0.941	7.829	6.336	3.792	17.728
GCF_000024685.1_ASM2468v1_protein.faa.named.faa	2.248	2.718	3.654	3.848	12.743
GCF_000012205.1_ASM1220v1_protein.faa.named.faa	-0.997	4.030	4.091	2.122	15.018
GCF_000013645.1_ASM1364v1_protein.faa.named.faa	0.522	17.051	7.069	5.787	18.715
GCF_000191925.1_ASM19192v1_protein.faa.named.faa	-0.335	-0.791	0.367	0.509	1.663
GCF_000009205.1_ASM920v1_protein.faa.named.faa	1.189	7.784	0.402	1.460	6.554
GCF_001298465.1_ASM129846v1_protein.faa.named.faa	6.267	3.128	1.417	6.818	9.440
GCF_000018865.1_ASM1886v1_protein.faa.named.faa	5.747	11.687	6.160	3.396	15.806
GCF_000026225.1_ASM2622v1_protein.faa.named.faa	2.158	5.908	2.065	5.707	13.886
GCF_000828915.1_ASM82891v1_protein.faa.named.faa	3.057	4.546	2.986	3.558	14.085
GCF_000012665.1_ASM1266v1_protein.faa.named.faa	10.816	6.783	4.036	5.625	8.664
GCF_001402875.1_ASM140287v1_protein.faa.named.faa	2.342	4.842	5.656	7.693	15.106
GCF_000485905.1_ASM48590v1_protein.faa.named.faa	1.769	3.964	5.131	3.600	13.634
GCF_000404225.1_ASM40422v1_protein.faa.named.faa	4.583	34.908	4.728	0.471	8.686
GCF_000328625.1_ASM32862v1_protein.faa.named.faa	5.209	5.214	2.357	0.938	6.825
GCF_001456155.1_ASM145615v1_protein.faa.named.faa	-1.473	0.320	1.175	3.260	9.819
GCF_000018105.1_ASM1810v1_protein.faa.named.faa	1.629	9.245	7.184	6.828	16.925
GCF_000019685.1_ASM1968v1_protein.faa.named.faa	-0.894	0.087	0.438	-0.154	0.504
GCF_000024785.1_ASM2478v1_protein.faa.named.faa	0.639	2.229	3.576	2.308	14.718
GCF_001499615.1_Acetobacter_senegalensis_108B_protein.faa.named.faa	-0.334	3.240	3.140	5.753	14.766
GCF_001482365.1_ASM148236v1_protein.faa.named.faa	-0.396	0.634	3.576	2.674	12.503
GCF_000255295.1_ASM25529v1_protein.faa.named.faa	-0.091	3.391	2.816	5.468	14.262
GCF_000695835.1_ASM69583v1_protein.faa.named.faa	-1.068	-0.391	0.010	0.188	-0.171
GCF_000307165.1_ASM30716v1_protein.faa.named.faa	-1.529	1.436	-0.181	0.611	2.786
GCF_001687805.1_ASM168780v1_protein.faa.named.faa	0.831	3.066	3.135	8.747	10.932
GCF_000016905.1_ASM1690v1_protein.faa.named.faa	1.132	2.096	-0.693	0.536	5.256
GCF_001647635.1_ASM164763v1_protein.faa.named.faa	-3.193	-0.813	2.455	2.617	8.100
GCF_000340435.2_ASM34043v3_protein.faa.named.faa	1.210	3.802	4.452	3.212	15.733
GCF_000242915.1_ASM24291v2_protein.faa.named.faa	6.518	5.701	2.770	8.172	14.145
GCF_000015025.1_ASM1502v1_protein.faa.named.faa	2.940	3.885	3.674	3.106	14.351
GCF_000214725.1_ASM21472v1_protein.faa.named.faa	5.142	75.045	4.451	1.259	9.645
GCF_000525635.1_ASM52563v1_protein.faa.named.faa	0.402	3.173	3.644	2.241	16.521
GCF_000025205.1_ASM2520v1_protein.faa.named.faa	0.833	0.454	1.115	-0.119	1.736
GCF_000015385.1_ASM1538v1_protein.faa.named.faa	-0.695	0.641	1.556	-0.357	0.832
GCF_000017845.1_ASM1784v1_protein.faa.named.faa	2.782	9.825	6.513	4.083	16.540
GCF_000725285.1_ASM72528v1_protein.faa.named.faa	0.350	-0.175	2.512	3.457	10.721
GCF_001543265.1_ASM154326v1_protein.faa.named.faa	-2.204	2.810	3.838	6.413	14.253
GCF_000284095.1_ASM28409v1_protein.faa.named.faa	4.036	11.577	3.216	3.910	9.382
GCF_000020665.1_ASM2066v1_protein.faa.named.faa	0.302	3.123	2.381	4.214	13.205
GCF_000019185.1_ASM1918v1_protein.faa.named.faa	3.225	7.861	2.732	10.026	12.527
GCF_000014565.1_ASM1456v1_protein.faa.named.faa	1.359	3.472	3.645	2.352	15.931
GCF_000199675.1_ASM19967v1_protein.faa.named.faa	4.666	6.104	3.149	6.297	12.155
GCF_000013985.1_ASM1398v1_protein.faa.named.faa	0.698	3.662	3.490	7.264	15.400
GCF_001027545.1_ASM102754v1_protein.faa.named.faa	2.783	4.998	3.593	0.938	7.468
GCF_000153405.2_ASM15340v2_protein.faa.named.faa	2.297	6.568	2.381	8.231	11.500
GCF_000284255.1_ASM28425v1_protein.faa.named.faa	2.956	20.824	6.585	9.673	16.670
GCF_000147835.2_ASM14783v3_protein.faa.named.faa	-0.360	2.571	3.410	7.233	15.469
GCF_001484065.1_ASM148406v1_protein.faa.named.faa	0.205	3.591	3.388	3.843	15.411
GCF_001558475.1_ASM155847v1_protein.faa.named.faa	1.206	2.961	2.403	8.058	10.227
GCF_000008645.1_ASM864v1_protein.faa.named.faa	5.653	77.383	4.526	0.438	8.295
GCF_000015845.1_ASM1584v1_protein.faa.named.faa	2.002	4.541	3.089	9.529	11.844
GCF_000014125.1_ASM1412v1_protein.faa.named.faa	1.453	2.404	0.478	0.649	4.449
GCF_000092925.1_ASM9292v1_protein.faa.named.faa	0.532	15.385	3.249	7.405	15.553
GCF_000179635.2_ASM17963v2_protein.faa.named.faa	1.068	8.049	2.558	0.771	4.972
GCF_000159155.2_ASM15915v2_protein.faa.named.faa	0.451	0.637	1.261	-0.119	1.835
GCF_000968535.2_ASM96853v1_protein.faa.named.faa	2.545	15.864	5.108	7.685	15.478
GCF_000195275.1_ASM19527v1_protein.faa.named.faa	2.565	6.065	1.825	1.161	3.677
GCF_000521505.1_ASM52150v1_protein.faa.named.faa	-0.570	6.947	3.806	4.856	15.699
GCF_000008185.1_ASM818v1_protein.faa.named.faa	0.355	1.026	0.107	0.865	3.170
GCF_000184065.1_ASM18406v1_protein.faa.named.faa	-1.455	1.128	3.460	4.245	10.120
GCF_000012285.1_ASM1228v1_protein.faa.named.faa	5.223	3.265	3.498	2.734	11.849
GCF_000152925.2_ASM15292v3_protein.faa.named.faa	-1.366	-1.237	3.323	3.386	7.298
GCF_000011785.1_ASM1178v1_protein.faa.named.faa	2.953	1.152	-0.286	4.603	5.590
GCF_000024665.1_ASM2466v1_protein.faa.named.faa	0.213	5.268	4.426	0.988	8.878
GCF_000013785.1_ASM1378v1_protein.faa.named.faa	1.625	7.843	6.815	9.252	15.316
GCF_001653935.1_ASM165393v1_protein.faa.named.faa	0.163	3.714	3.504	5.456	16.041
GCF_000009985.1_ASM998v1_protein.faa.named.faa	5.540	9.831	5.708	10.241	16.642
GCF_000300475.1_ASM30047v1_protein.faa.named.faa	2.822	4.418	4.878	3.726	14.921
GCF_000816365.1_ASM81636v1_protein.faa.named.faa	4.110	2.642	1.996	7.621	11.445
GCF_000006825.1_ASM682v1_protein.faa.named.faa	2.952	1.257	-0.014	5.155	6.664
GCF_001267175.1_ASM126717v1_protein.faa.named.faa	0.907	1.703	2.369	5.803	9.682
GCF_000632805.1_ASM63280v1_protein.faa.named.faa	0.837	3.785	2.756	9.045	16.292
GCF_000245355.1_ASM24535v1_protein.faa.named.faa	2.149	3.567	4.582	2.971	16.113
GCF_001652465.1_ASM165246v1_protein.faa.named.faa	-2.435	-0.554	2.676	2.502	9.746
GCF_000827125.1_ASM82712v1_protein.faa.named.faa	4.665	6.660	1.992	7.007	11.888
GCF_000755705.1_ASM75570v1_protein.faa.named.faa	0.331	1.990	-0.921	0.650	4.544
GCF_001314305.1_ASM131430v1_protein.faa.named.faa	-0.556	2.269	2.976	7.631	14.332
GCF_001308265.1_ASM130826v1_protein.faa.named.faa	1.745	4.481	3.776	6.189	15.141
GCF_001650215.1_ASM165021v1_protein.faa.named.faa	-0.483	2.715	3.427	2.738	15.901
GCF_000230555.1_ASM23055v1_protein.faa.named.faa	-1.658	1.988	3.605	3.941	13.879
GCF_000503895.1_ASM50389v1_protein.faa.named.faa	0.496	15.968	3.795	7.993	16.163
GCF_001582075.1_ASM158207v1_protein.faa.named.faa	2.741	6.436	3.363	2.080	14.123
GCF_001008165.2_ASM100816v2_protein.faa.named.faa	-1.655	2.006	3.904	6.128	14.520
GCF_000193375.1_ASM19337v1_protein.faa.named.faa	8.451	4.464	0.863	2.492	8.415
GCF_000021945.1_ASM2194v1_protein.faa.named.faa	5.961	11.056	5.103	4.190	14.694
GCF_000297055.2_ASM29705v2_protein.faa.named.faa	10.222	7.959	3.766	8.116	14.472
GCF_000283275.1_ASM28327v1_protein.faa.named.faa	-0.017	2.578	3.893	4.250	13.432
GCF_000023825.1_ASM2382v1_protein.faa.named.faa	-1.634	2.449	4.132	5.300	12.614
GCF_001578105.1_ASM157810v1_protein.faa.named.faa	-0.327	3.722	3.784	7.166	15.326
GCF_000176115.2_ASM17611v2_protein.faa.named.faa	-1.030	2.468	3.362	2.221	15.900
GCF_000024885.1_ASM2488v1_protein.faa.named.faa	6.883	6.639	1.763	7.331	11.242
GCF_000014185.1_ASM1418v1_protein.faa.named.faa	3.486	8.022	4.070	2.214	14.218
GCF_000299335.2_ASM29933v2_protein.faa.named.faa	-0.912	2.284	3.916	6.438	12.423
GCF_000007565.2_ASM756v2_protein.faa.named.faa	1.426	2.854	3.442	5.170	15.570
GCF_000007685.1_ASM768v1_protein.faa.named.faa	0.858	2.419	3.589	4.206	13.839
GCF_000253015.1_ASM25301v1_protein.faa.named.faa	0.118	0.792	1.648	1.457	7.256
GCF_000189775.2_ASM18977v3_protein.faa.named.faa	3.317	5.235	1.679	1.167	6.912
GCF_000306725.1_ASM30672v1_protein.faa.named.faa	5.407	77.376	4.329	1.685	11.609
GCF_001021025.1_ASM102102v1_protein.faa.named.faa	-1.425	0.357	3.986	3.408	9.082
GCF_000018945.1_ASM1894v1_protein.faa.named.faa	2.911	5.294	1.550	1.052	6.882
GCF_000087965.2_ASM8796v1_protein.faa.named.faa	-1.571	2.253	2.865	4.647	13.400
GCF_000255135.1_ASM25513v1_protein.faa.named.faa	2.230	3.057	-0.199	0.536	4.726
GCF_000758685.1_ASM75868v1_protein.faa.named.faa	3.661	6.273	4.977	1.734	11.023
GCF_000968195.1_ASM96819v1_protein.faa.named.faa	0.549	3.972	2.479	2.887	11.730
GCF_000214215.1_ASM21421v1_protein.faa.named.faa	-1.848	2.397	4.393	1.890	12.395
GCF_000180175.2_ASM18017v2_protein.faa.named.faa	0.329	4.445	4.306	5.731	13.141
GCF_000473305.1_ASM47330v1_protein.faa.named.faa	1.615	3.264	-0.006	2.813	6.978
GCF_000829415.1_ASM82941v1_protein.faa.named.faa	0.052	3.889	2.674	5.170	14.807
GCF_000019065.1_ASM1906v1_protein.faa.named.faa	2.407	3.564	2.736	0.723	6.254
GCF_001618885.1_ASM161888v1_protein.faa.named.faa	2.485	2.770	1.830	1.733	9.214
GCF_000763575.1_ASM76357v1_protein.faa.named.faa	5.120	11.894	2.333	0.902	7.423
GCF_000015145.1_ASM1514v1_protein.faa.named.faa	8.810	4.359	0.263	1.459	6.014
GCF_000746585.1_ASM74658v2_protein.faa.named.faa	-0.056	1.764	1.417	3.740	7.660
GCF_000973525.1_ASM97352v1_protein.faa.named.faa	2.657	1.013	0.559	5.155	6.781
GCF_000027145.1_ASM2714v1_protein.faa.named.faa	-0.009	1.423	2.790	1.434	7.152
GCF_001310255.1_ASM131025v1_protein.faa.named.faa	-1.536	2.145	4.253	5.626	12.711
GCF_000025325.1_ASM2532v1_protein.faa.named.faa	1.819	9.457	3.074	1.257	14.433
GCF_001553955.1_ASM155395v1_protein.faa.named.faa	1.169	3.444	2.436	3.301	12.526
GCF_000827005.1_ASM82700v1_protein.faa.named.faa	-0.781	3.317	3.521	2.145	15.232
GCF_000829395.1_ASM82939v1_protein.faa.named.faa	-2.539	-0.598	0.448	0.228	2.835
GCF_000014205.1_ASM1420v1_protein.faa.named.faa	-1.619	-0.272	0.039	0.467	2.554
GCF_000828855.1_ASM82885v1_protein.faa.named.faa	-0.352	-0.500	0.002	-0.177	0.139
GCF_000018405.1_ASM1840v1_protein.faa.named.faa	7.759	12.769	1.104	7.090	9.040
GCF_000494915.1_ASM49491v1_protein.faa.named.faa	-0.266	3.898	3.742	3.884	15.000
GCF_001077815.2_ASM107781v2_protein.faa.named.faa	-0.741	2.527	3.341	6.049	14.139
GCF_000767055.1_ASM76705v1_protein.faa.named.faa	-0.112	0.646	4.534	2.755	9.981
GCF_000294775.2_ASM29477v2_protein.faa.named.faa	1.970	2.155	3.782	3.848	15.559
GCF_000012605.1_ASM1260v1_protein.faa.named.faa	2.607	6.495	3.643	5.108	13.885
GCF_000967305.2_ASM96730v2_protein.faa.named.faa	3.628	4.207	3.630	5.152	16.414
GCF_000009705.1_ASM970v1_protein.faa.named.faa	3.020	10.194	7.370	4.421	17.740
GCF_000009125.1_ASM912v1_protein.faa.named.faa	0.752	4.036	3.376	4.334	15.700
GCF_000724625.1_ASM72462v1_protein.faa.named.faa	-0.882	6.955	3.236	4.883	14.629
GCF_000013685.1_ASM1368v1_protein.faa.named.faa	2.420	9.244	6.641	7.663	17.123
GCF_000092945.1_ASM9294v1_protein.faa.named.faa	8.670	20.521	4.571	4.083	11.976
GCF_000284015.1_ASM28401v1_protein.faa.named.faa	1.371	4.237	3.694	2.613	15.130
GCF_000017645.1_ASM1764v1_protein.faa.named.faa	1.940	17.416	7.132	6.199	17.907
GCF_000020825.1_ASM2082v1_protein.faa.named.faa	7.162	7.770	6.371	4.951	15.570
GCF_000162235.2_ASM16223v2_protein.faa.named.faa	0.893	1.775	0.723	0.893	4.349
GCF_000166295.1_ASM16629v1_protein.faa.named.faa	-0.661	2.015	4.502	6.391	14.961
GCF_000023325.1_ASM2332v1_protein.faa.named.faa	3.761	4.863	-0.163	0.470	5.683
GCF_001644665.1_ASM164466v1_protein.faa.named.faa	1.418	5.054	0.083	0.837	6.429
GCF_000058485.1_ASM5848v1_protein.faa.named.faa	2.137	5.236	6.291	2.474	18.001
GCF_001579805.1_ASM157980v1_protein.faa.named.faa	-0.343	3.798	4.726	6.556	16.328
GCF_000011825.1_ASM1182v1_protein.faa.named.faa	-0.866	-0.679	0.438	0.952	1.432
GCF_000284295.1_ASM28429v1_protein.faa.named.faa	1.860	2.281	3.510	2.592	16.130
GCF_000212735.1_ASM21273v1_protein.faa.named.faa	1.232	3.787	3.586	3.859	15.294
GCF_000021805.1_ASM2180v1_protein.faa.named.faa	3.104	8.001	6.561	3.990	16.983
GCF_000017285.1_ASM1728v1_protein.faa.named.faa	-1.614	2.404	3.229	2.180	12.761
GCF_000025605.1_ASM2560v1_protein.faa.named.faa	7.731	7.359	7.237	4.764	14.670
GCF_000007165.1_ASM716v1_protein.faa.named.faa	-2.102	3.526	3.852	5.669	15.041
GCF_000022085.1_ASM2208v1_protein.faa.named.faa	1.962	16.775	6.938	4.960	18.436
GCF_000949425.1_ASM94942v1_protein.faa.named.faa	0.312	2.325	3.978	3.848	11.395
GCF_000017205.1_ASM1720v1_protein.faa.named.faa	0.882	3.727	4.248	8.482	16.383
GCF_000294515.1_ASM29451v1_protein.faa.named.faa	3.529	3.829	3.675	2.719	14.940
GCF_000009485.1_ASM948v1_protein.faa.named.faa	-1.049	3.743	4.299	4.703	16.631
GCF_001021975.1_ASM102197v1_protein.faa.named.faa	-0.294	1.403	2.013	2.872	12.106
GCF_000014725.1_ASM1472v1_protein.faa.named.faa	2.824	4.729	1.488	4.514	7.783
GCF_000014225.1_ASM1422v1_protein.faa.named.faa	-1.401	2.496	4.477	7.643	12.391
GCF_000024405.1_ASM2440v1_protein.faa.named.faa	2.759	5.353	1.322	0.440	7.082
GCF_001402915.1_ASM140291v1_protein.faa.named.faa	-1.452	3.282	3.186	5.012	14.835
GCF_000144405.1_ASM14440v1_protein.faa.named.faa	-0.007	0.933	-0.403	2.955	5.939
GCF_000319575.2_ASM31957v2_protein.faa.named.faa	1.751	7.151	3.437	3.927	11.511
GCF_001678945.1_ASM167894v1_protein.faa.named.faa	2.341	4.367	4.615	4.535	16.251
GCF_000063445.1_ASM6344v1_protein.faa.named.faa	7.140	74.788	4.253	1.275	11.265
GCF_000306885.1_ASM30688v1_protein.faa.named.faa	0.446	1.877	1.411	3.785	6.517
GCF_000993805.1_ASM99380v1_protein.faa.named.faa	7.022	8.028	0.300	0.749	6.249
GCF_000940805.1_ASM94080v1_protein.faa.named.faa	-0.625	3.679	6.412	8.073	14.594
GCF_000025065.1_ASM2506v1_protein.faa.named.faa	2.602	6.243	2.924	1.720	13.784
GCF_000969965.1_ASM96996v1_protein.faa.named.faa	5.741	78.775	4.419	2.810	11.180
GCF_000281175.1_ASM28117v1_protein.faa.named.faa	5.584	11.576	4.100	7.131	15.095
GCF_000194135.1_ASM19413v1_protein.faa.named.faa	4.697	9.826	1.283	1.554	7.696
GCF_000008365.1_ASM836v1_protein.faa.named.faa	-0.555	-0.886	0.010	-0.177	-0.115
GCF_000019485.1_ASM1948v1_protein.faa.named.faa	3.373	8.236	7.498	3.206	15.526
GCF_000025865.1_ASM2586v1_protein.faa.named.faa	5.412	75.803	5.429	3.845	11.338
GCF_000222485.1_ASM22248v1_protein.faa.named.faa	0.545	2.440	2.674	4.184	12.165
GCF_001277195.1_ASM127719v1_protein.faa.named.faa	1.706	6.021	3.310	3.402	13.708
GCF_001277255.1_ASM127725v1_protein.faa.named.faa	1.706	6.139	3.951	3.402	13.963
GCF_001267885.1_ASM126788v1_protein.faa.named.faa	-0.424	2.484	3.245	2.718	15.588
GCF_000242895.2_ASM24289v3_protein.faa.named.faa	2.960	5.899	2.875	8.203	15.303
GCF_001618685.1_ASM161868v1_protein.faa.named.faa	2.988	4.966	2.762	4.236	14.289
GCF_000092605.1_ASM9260v1_protein.faa.named.faa	2.690	3.591	0.809	7.036	12.230
GCF_000591055.1_ASM59105v1_protein.faa.named.faa	0.331	5.654	4.069	1.998	12.719
GCF_000012245.1_ASM1224v1_protein.faa.named.faa	-1.100	4.479	4.043	2.337	15.259
GCF_000023745.1_ASM2374v1_protein.faa.named.faa	0.175	15.905	3.374	4.551	15.137
GCF_000215975.1_ASM21597v1_protein.faa.named.faa	10.698	12.808	2.249	4.388	9.146
GCF_000327485.1_ASM32748v1_protein.faa.named.faa	5.262	76.423	5.027	0.743	9.064
GCF_001294575.1_ASM129457v1_protein.faa.named.faa	-1.188	3.570	3.475	6.413	15.678
GCF_001412655.1_ASM141265v1_protein.faa.named.faa	-0.514	2.171	3.317	5.085	13.299
GCF_000709555.1_ASM70955v1_protein.faa.named.faa	0.934	0.376	1.235	3.658	1.681
GCF_000253295.1_ASM25329v1_protein.faa.named.faa	2.187	19.779	6.957	8.005	18.763
GCF_001010285.1_ASM101028v1_protein.faa.named.faa	0.090	4.780	3.849	2.375	13.483
GCF_000023205.1_ASM2320v1_protein.faa.named.faa	-3.640	-0.097	3.591	2.511	9.882
GCF_000306765.2_ASM30676v2_protein.faa.named.faa	1.628	9.610	3.286	2.977	12.616
GCF_001263395.1_ASM126339v1_protein.faa.named.faa	0.572	0.392	1.266	1.024	2.135
GCF_001020985.1_ASM102098v1_protein.faa.named.faa	-1.205	0.410	3.036	3.356	9.512
GCF_000590555.1_ASM59055v1_protein.faa.named.faa	-2.965	-2.077	2.661	2.502	7.000
GCF_000015005.1_ASM1500v1_protein.faa.named.faa	2.403	3.501	4.612	2.346	15.467
GCF_000091125.1_ASM9112v1_protein.faa.named.faa	0.679	6.657	3.551	7.213	15.415
GCF_000164865.1_ASM16486v1_protein.faa.named.faa	2.276	5.218	1.685	2.236	12.794
GCF_000955905.1_ASM95590v3_protein.faa.named.faa	2.971	5.536	2.787	2.277	9.947
GCF_000007705.1_ASM770v1_protein.faa.named.faa	-0.642	3.830	4.570	5.619	15.290
GCF_000349945.1_ASM34994v1_protein.faa.named.faa	3.334	18.743	5.369	9.184	18.005
GCF_000974425.1_ASM97442v1_protein.faa.named.faa	-0.528	3.341	3.616	3.584	15.789
GCF_000157895.3_ASM15789v2_protein.faa.named.faa	2.920	4.579	4.572	3.212	16.489
GCF_000091785.1_ASM9178v1_protein.faa.named.faa	0.783	3.161	2.526	4.043	12.018
GCF_000963865.1_ASM96386v1_protein.faa.named.faa	-1.332	0.666	2.985	3.715	9.748
GCF_000801275.2_ASM80127v1_protein.faa.named.faa	-0.612	2.013	3.915	8.077	12.622
GCF_000023585.1_ASM2358v1_protein.faa.named.faa	0.050	2.477	3.200	3.628	13.805
GCF_000145275.1_ASM14527v1_protein.faa.named.faa	2.059	5.459	3.840	1.064	8.513
GCF_000230895.2_ASM23089v3_protein.faa.named.faa	1.357	3.869	3.522	2.418	16.435
GCF_000829195.1_ASM82919v1_protein.faa.named.faa	2.049	1.635	3.367	3.461	10.128
GCF_000012485.1_ASM1248v1_protein.faa.named.faa	7.257	9.740	5.098	7.090	11.881
GCF_000017725.2_ASM1772v2_protein.faa.named.faa	5.961	4.791	0.951	8.331	9.188
GCF_000763535.1_ASM76353v2_protein.faa.named.faa	0.675	3.051	2.876	8.077	13.365
GCF_000146565.1_ASM14656v1_protein.faa.named.faa	1.850	0.436	3.424	3.162	12.781
GCF_000012325.1_ASM1232v1_protein.faa.named.faa	-1.024	2.562	2.857	8.323	14.170
GCF_000219535.2_ASM21953v3_protein.faa.named.faa	1.243	3.595	4.041	3.596	15.266
GCF_000815185.1_ASM81518v1_protein.faa.named.faa	-1.906	3.586	3.775	3.070	14.829
GCF_000524555.1_ASM52455v1_protein.faa.named.faa	-0.842	-0.391	0.010	-0.177	-0.115
GCF_000725365.1_ASM72536v1_protein.faa.named.faa	-2.800	1.071	2.762	1.982	7.424
GCF_000210895.1_ASM21089v1_protein.faa.named.faa	4.160	3.632	0.965	5.157	8.391
GCF_000177235.2_ASM17723v2_protein.faa.named.faa	2.379	3.504	3.526	4.498	13.519
GCF_000011725.1_ASM1172v1_protein.faa.named.faa	1.937	2.858	1.650	4.080	8.489
GCF_000960975.1_ASM96097v1_protein.faa.named.faa	0.352	5.190	6.318	7.166	16.908
GCF_000400935.1_ASM40093v1_protein.faa.named.faa	0.215	0.030	0.542	0.137	0.578
GCF_001583415.1_ASM158341v1_protein.faa.named.faa	0.034	3.491	3.675	2.418	15.090
GCF_001465835.2_ASM146583v2_protein.faa.named.faa	-0.902	4.844	3.588	3.583	9.832
GCF_000831645.3_ASM83164v3_protein.faa.named.faa	-1.858	-0.254	-0.010	0.028	2.362
GCF_000015565.1_ASM1556v1_protein.faa.named.faa	-1.166	4.806	3.826	3.342	15.102
GCF_000016525.1_ASM1652v1_protein.faa.named.faa	4.981	71.521	3.891	0.743	6.712
GCF_000026185.1_ASM2618v1_protein.faa.named.faa	-0.372	3.572	3.352	4.186	13.669
GCF_001442805.1_ASM144280v1_protein.faa.named.faa	-1.481	2.916	3.519	4.566	16.031
GCF_000195575.1_ASM19557v1_protein.faa.named.faa	-2.698	-1.071	0.012	-0.114	1.554
GCF_000211475.1_ASM21147v1_protein.faa.named.faa	6.967	7.881	0.237	0.103	6.425
GCF_000724485.1_ASM72448v1_protein.faa.named.faa	1.502	3.869	3.812	4.320	13.640
GCF_001641285.1_ASM164128v1_protein.faa.named.faa	-1.113	3.429	3.130	4.356	13.693
GCF_001278035.1_ASM127803v1_protein.faa.named.faa	-0.218	5.782	3.198	6.662	14.631
GCF_000210915.2_ASM21091v2_protein.faa.named.faa	-1.755	-0.608	2.051	6.144	9.441
GCF_000027225.1_ASM2722v1_protein.faa.named.faa	-0.043	3.727	2.558	2.887	11.799
GCF_000024625.1_ASM2462v1_protein.faa.named.faa	8.389	77.125	5.084	0.512	7.970
GCF_000619905.2_ASM61990v2_protein.faa.named.faa	0.006	1.878	3.259	7.280	14.731
GCF_000011485.1_ASM1148v1_protein.faa.named.faa	2.537	3.873	7.501	3.421	12.073
GCF_000027205.1_ASM2720v1_protein.faa.named.faa	-0.645	3.936	3.682	4.711	13.327
GCF_000013105.1_ASM1310v1_protein.faa.named.faa	8.007	18.060	5.514	0.755	11.163
GCF_000214355.1_ASM21435v1_protein.faa.named.faa	0.935	8.133	4.555	1.161	6.719
GCF_000442645.1_ASM44264v1_protein.faa.named.faa	-0.015	0.395	3.465	2.533	10.765
GCF_001314945.1_ASM131494v1_protein.faa.named.faa	-0.736	1.405	1.186	-0.291	1.825
GCF_000164965.1_ASM16496v1_protein.faa.named.faa	0.648	-0.449	0.538	0.007	1.966
GCF_000418365.1_ASM41836v1_protein.faa.named.faa	-2.617	1.014	3.759	2.161	9.223
GCF_000017705.1_ASM1770v1_protein.faa.named.faa	0.567	2.322	3.185	8.001	11.651
GCF_001558255.1_ASM155825v1_protein.faa.named.faa	2.760	3.269	3.235	8.250	12.294
GCF_000010285.1_ASM1028v1_protein.faa.named.faa	-0.457	0.453	4.201	2.653	10.676
GCF_000217635.1_ASM21763v1_protein.faa.named.faa	1.143	-0.334	1.496	1.078	4.021
GCF_000265295.1_ASM26529v1_protein.faa.named.faa	6.305	12.337	5.387	7.158	14.221
GCF_000166135.1_ASM16613v1_protein.faa.named.faa	1.052	3.914	4.680	2.363	16.474
GCF_001557535.1_ASM155753v1_protein.faa.named.faa	-0.518	3.931	4.612	6.175	16.734
GCF_000737535.1_ASM73753v1_protein.faa.named.faa	2.389	4.029	7.540	4.291	14.046
GCF_000018885.1_ASM1888v1_protein.faa.named.faa	-3.001	-0.572	3.808	2.502	9.895
GCF_000016765.1_ASM1676v1_protein.faa.named.faa	-0.490	2.957	3.565	8.134	16.470
GCF_000214175.1_ASM21417v1_protein.faa.named.faa	0.902	3.129	3.373	2.418	15.109
GCF_001548455.1_ASM154845v1_protein.faa.named.faa	2.974	10.225	6.711	4.281	17.613
GCF_000739065.1_ASM73906v1_protein.faa.named.faa	7.504	76.666	4.981	0.347	8.153
GCF_000215085.1_ASM21508v1_protein.faa.named.faa	9.808	13.637	4.355	3.011	11.986
GCF_001186155.3_ASM118615v3_protein.faa.named.faa	0.085	-0.981	2.211	3.725	9.034
GCF_000767465.1_ASM76746v1_protein.faa.named.faa	0.677	3.331	4.630	7.254	15.977
GCF_000023845.1_ASM2384v1_protein.faa.named.faa	5.004	3.944	-1.402	2.650	5.830
GCF_000185965.1_ASM18596v1_protein.faa.named.faa	-0.888	3.918	2.884	7.048	14.788
GCF_000236065.1_ASM23606v1_protein.faa.named.faa	1.212	15.241	4.379	5.787	17.185
