Accesion 	SS	SS_pos	SS_2014
GCF_000316515.1	3.111	6.953	8.44
GCF_000306785.1	2.014	6.953	8.318
GCF_000183745.1	2.454	6.957	8.409
GCF_000013565.1	1.231	6.968	8.47
GCF_000145255.1	3.466	6.973	7.559
GCF_000328665.1	4.578	6.977	8.628
GCF_000009125.1	1.045	6.987	8.303
GCF_000283475.1	0.905	6.987	8.303
GCF_000011385.1	2.282	7.012	6.999
GCF_000013865.1	0.935	7.035	8.552
GCF_000259175.1	1.835	7.064	8.724
GCF_000336425.1	1.2	7.064	8.605
GCF_000016205.1	0.786	7.065	8.292
GCF_000014265.1	3.532	7.068	7.455
GCF_000013885.1	1.695	7.084	9.039
GCF_000164985.3	3.135	7.097	9.255
GCF_000235585.1	2.383	7.097	9.255
GCF_000009405.1	2.341	7.097	8.425
GCF_000178955.2	2.213	7.098	7.563
GCF_000444875.1	1.042	7.103	8.208
GCF_000023605.1	1.844	7.112	8.854
GCF_000019445.1	0.962	7.112	7.463
GCF_000024765.1	4.403	7.118	6.306
GCF_000009865.1	2.851	7.118	8.448
GCF_000023865.1	2.142	7.132	7.591
GCF_000018105.1	1.812	7.137	7.742
GCF_000152265.2	4.595	7.141	8.193
GCF_000279165.1	1.389	7.142	9.046
GCF_000246855.1	1.331	7.146	7.812
GCF_000011105.1	5.989	7.147	6.261
GCF_000178975.2	2.17	7.151	6.949
GCF_000019965.1	2.757	7.151	9.337
GCF_000009965.1	5.867	7.152	7.143
GCF_000022545.1	5.821	7.152	7.602
GCF_000151205.2	5.703	7.152	7.106
GCF_000014025.1	4.366	7.195	8.179
GCF_000283655.1	1.3	7.195	8.291
GCF_000010725.1	1.064	7.195	8.113
GCF_000010805.1	1.322	7.195	7.236
GCF_000263195.1	2.089	7.202	7.201
GCF_000224675.1	1.491	7.209	8.719
GCF_000239975.1	1.798	7.209	8.719
GCF_000284095.1	4.493	7.211	8.348
GCF_000024185.1	5.529	7.227	8.086
GCF_000019485.1	3.652	7.229	7.713
GCF_000010525.1	1.741	7.243	8.03
GCF_000013725.1	4.394	7.25	7.688
GCF_000317105.1	2.92	7.25	7.751
GCF_000196535.1	4.782	7.256	9.087
GCF_000025565.1	1.846	7.257	8.968
GCF_000011085.1	2.576	7.264	8.803
GCF_000012445.1	1.242	7.265	7.214
GCF_000473245.1	2.278	7.281	8.03
GCF_000013445.1	5.435	7.303	8.4
GCF_000015025.1	3.198	7.316	7.618
GCF_000247715.1	1.269	7.331	7.143
GCF_000093145.3	1.166	7.332	8.717
GCF_000012545.1	5.264	7.356	8.084
GCF_000015085.1	4.589	7.368	8.531
GCF_000177235.2	2.46	7.372	8.348
GCF_000327505.1	6.043	7.38	6.221
GCF_000194135.1	4.984	7.385	8.269
GCF_000484535.1	2.637	7.386	7.299
GCF_000286275.1	2.12	7.387	8.897
GCF_000016325.1	2.263	7.387	8.719
GCF_000317045.1	3.7	7.423	7.722
GCF_000011185.1	4.801	7.423	7.619
GCF_000304355.2	4.805	7.43	8.459
GCF_000230895.2	1.631	7.435	7.676
GCF_000367425.1	1.299	7.435	9.146
GCF_000236065.1	1.461	7.438	8.992
GCF_000018485.1	5.011	7.441	8.382
GCF_000017225.1	5.011	7.441	8.382
GCF_000165925.1	2.348	7.446	8.516
GCF_000009825.1	1.924	7.452	8.021
GCF_000023385.1	2.954	7.453	8.607
GCF_000019525.1	1.983	7.461	9.39
GCF_000344805.1	1.211	7.47	7.849
GCF_000145215.1	4.799	7.473	7.128
GCF_000166335.1	4.849	7.473	7.523
GCF_000022325.1	4.737	7.475	7.299
GCF_000166355.1	4.358	7.475	7.739
GCF_000166695.1	4.737	7.475	7.739
GCF_000016965.1	3.358	7.48	7.768
GCF_000143685.1	3.856	7.48	7.768
GCF_000144695.1	4.958	7.486	7.806
GCF_000196675.1	1.891	7.49	9.07
GCF_000446015.1	6.624	7.502	8.412
GCF_000023985.1	5.894	7.507	8.603
GCF_000091665.1	6.002	7.507	8.479
GCF_000024365.1	2.062	7.507	9.431
GCF_000014065.1	2.071	7.545	8.544
GCF_000246985.2	6.189	7.549	7.71
GCF_000284235.1	3.114	7.557	8.868
GCF_000012985.1	2.407	7.558	8.283
GCF_000014905.1	1.746	7.565	8.195
GCF_000010625.1	2.745	7.582	8.153
GCF_000014725.1	3.204	7.593	8.074
GCF_000058485.1	2.332	7.603	7.13
GCF_000144915.1	5.303	7.606	9.085
GCF_000024685.1	2.429	7.621	8.956
GCF_000165835.1	1.523	7.623	9.152
GCF_000166055.1	2.418	7.625	9.082
GCF_000091305.1	1.436	7.668	8.158
GCF_000203875.1	1.505	7.671	9.152
GCF_000023945.1	4.539	7.681	7.205
GCF_000196395.1	2.444	7.684	9.017
GCF_000148645.1	2.622	7.684	9.062
GCF_000007745.1	3.325	7.684	8.825
GCF_000015245.1	2.747	7.684	9.017
GCF_000014705.1	2.332	7.684	8.95
GCF_000016065.1	2.464	7.684	9.062
GCF_000146165.2	2.497	7.684	9.062
GCF_000018285.1	1.947	7.684	9.066
GCF_000299235.1	4.659	7.688	7.463
GCF_000210895.1	4.247	7.725	8.827
GCF_000017245.1	3.997	7.727	9.088
GCF_000022985.1	4.231	7.73	8.827
GCF_000015825.1	5.477	7.73	8.775
GCF_000014885.1	2.665	7.732	9.266
GCF_000009345.1	2.338	7.732	9.311
GCF_000389965.1	1.899	7.734	9.189
GCF_000317695.1	3.148	7.734	7.304
GCF_000327485.1	5.778	7.735	8.264
GCF_000016885.1	2.753	7.753	9.019
GCF_000317795.1	5.532	7.763	9.569
GCF_000092465.1	6.94	7.77	8.503
GCF_000968535.2	2.832	7.776	7.995
GCF_000017625.1	5.336	7.783	8.323
GCF_000015945.1	7.111	7.785	8.085
GCF_000015225.1	7.115	7.793	8.444
GCF_000317635.1	4.566	7.81	7.455
GCF_000024425.1	2.487	7.828	9.198
GCF_000316575.1	3.041	7.831	7.493
GCF_000410575.1	1.494	7.833	8.075
GCF_000219215.1	1.557	7.85	9.283
GCF_000590495.2	1.557	7.85	9.283
GCF_000019125.1	1.665	7.881	9.055
GCF_000023845.1	5.229	7.884	8.67
GCF_000017425.1	3.079	7.893	8.898
GCF_000176035.2	1.749	7.893	8.635
GCF_000005825.2	2.366	7.894	8.628
GCF_000494755.1	2.159	7.912	9.367
GCF_000284295.1	2.008	7.912	10.229
GCF_000025005.1	3.204	7.912	9.616
GCF_000284315.1	4.489	7.931	7.881
GCF_000404165.1	5.629	7.933	8.082
GCF_000014825.1	2.111	7.936	8.222
GCF_000230715.2	3.626	7.939	8.962
GCF_000018265.1	2.454	7.96	8.849
GCF_000016425.1	2.454	7.96	8.849
GCF_000169195.2	2.895	7.966	8.638
GCF_000092645.1	2.493	7.966	7.544
GCF_000016525.1	5.488	7.969	7.801
GCF_000021825.1	3.79	7.971	7.713
GCF_000328625.1	5.539	7.982	8.528
GCF_000312705.1	4.395	7.987	7.722
GCF_000317435.1	4.547	7.992	7.751
GCF_000317125.1	3.077	7.992	7.929
GCF_000166095.1	5.935	7.992	8.122
GCF_000317515.1	3.055	7.992	7.751
GCF_000020025.1	2.892	7.992	7.751
GCF_000316625.1	3.168	7.992	7.751
GCF_000316665.1	3.377	7.992	7.751
GCF_000230975.2	3.236	7.994	9.266
GCF_000015725.1	2.073	7.994	9.444
GCF_000021745.1	2.491	8.004	8.756
GCF_000008325.1	4.401	8.01	9.08
GCF_000015265.1	2.385	8.013	9.689
GCF_000316175.1	2.121	8.018	7.897
GCF_000069965.1	3.235	8.023	9.616
GCF_000009705.1	3.37	8.04	7.971
GCF_000061505.1	2.281	8.044	8.391
GCF_000300475.1	2.996	8.068	9.16
GCF_000018825.1	2.882	8.068	9.16
GCF_000015745.1	3.054	8.068	9.219
GCF_000327065.1	2.195	8.074	9.407
GCF_000012285.1	5.457	8.078	8.973
GCF_000465235.1	5.635	8.084	8.982
GCF_000019665.1	5.231	8.098	8.062
GCF_000019605.1	5.394	8.112	8.088
GCF_000014185.1	3.683	8.115	10.74
GCF_000214665.1	3.651	8.116	7.672
GCF_000012305.1	3.157	8.116	9.076
GCF_000021965.1	5.308	8.125	8.718
GCF_000014565.1	1.787	8.129	8.926
GCF_000014005.1	4.029	8.131	9.5
GCF_000015045.1	5.176	8.141	8.867
GCF_000009725.1	4.842	8.149	7.832
GCF_000253295.1	2.331	8.151	9.406
GCF_000316645.1	3.155	8.17	7.751
GCF_000317475.1	3.953	8.17	8
GCF_000196015.1	1.879	8.172	9.444
GCF_000009285.1	1.879	8.172	9.444
GCF_000241385.1	2.28	8.174	9.073
GCF_000219705.1	2.046	8.196	8.075
GCF_000022885.2	3.646	8.199	9.459
GCF_000027085.1	2.372	8.201	9.497
GCF_000147055.1	2.598	8.201	9.675
GCF_000164865.1	2.464	8.201	9.497
GCF_000330845.1	2.065	8.201	9.675
GCF_000026225.1	2.306	8.201	9.497
GCF_000286435.2	3.484	8.201	9.44
GCF_000422085.1	2.337	8.201	9.675
GCF_000018085.1	2.328	8.201	9.675
GCF_000306725.1	5.692	8.203	8.652
GCF_000015165.1	1.804	8.212	7.849
GCF_000026145.1	1.953	8.212	7.849
GCF_000019785.1	2.444	8.219	8.653
GCF_000017845.1	3.189	8.221	7.952
GCF_000300005.1	2.697	8.235	8.906
GCF_000199675.1	5.095	8.235	9.32
GCF_000018045.1	2.384	8.249	9.924
GCF_000011605.1	2.967	8.249	9.746
GCF_000019725.1	2.347	8.281	8.987
GCF_000017165.1	6.106	8.284	8.382
GCF_000006175.1	6.122	8.284	8.332
GCF_000024385.1	2.645	8.305	9.707
GCF_000025525.1	7.119	8.307	8.429
GCF_000179575.2	6.507	8.307	8.546
GCF_000025865.1	5.779	8.317	9.61
GCF_000317025.1	3.787	8.324	8.153
GCF_000016125.1	5.947	8.327	8.337
GCF_000196655.1	6	8.338	10.673
GCF_000499765.1	6.409	8.345	8.87
GCF_000145295.1	6.27	8.36	8.588
GCF_000008645.1	6.054	8.365	8.617
GCF_000214415.1	6.285	8.365	8.536
GCF_000018305.1	5.945	8.376	9.407
GCF_000017645.1	2.248	8.376	8.793
GCF_000015505.1	2.77	8.383	9.266
GCF_000021725.1	6.725	8.394	9.478
GCF_000284375.1	1.999	8.397	8.831
GCF_000017185.1	6.328	8.408	8.536
GCF_000022085.1	2.324	8.409	9.07
GCF_000184325.1	2.69	8.426	9.062
GCF_000145235.1	2.676	8.429	9.98
GCF_000177635.2	4.681	8.435	9.448
GCF_000007345.1	5.753	8.44	8.934
GCF_000007065.1	5.877	8.44	8.875
GCF_000020485.1	5.701	8.442	8.38
GCF_000011205.1	5.341	8.442	10.689
GCF_000007005.1	5.307	8.448	10.774
GCF_000195895.1	5.842	8.452	9.72
GCF_000019165.1	5.558	8.482	8.557
GCF_000196695.1	2.506	8.485	9.281
GCF_000017465.2	6.219	8.518	8.809
GCF_000305935.1	6.077	8.528	9.313
GCF_000018025.1	3.122	8.55	9.988
GCF_000013685.1	2.708	8.551	8.798
GCF_000143165.1	4.434	8.573	9.359
GCF_000018605.1	6.398	8.587	8.633
GCF_000011965.2	2.707	8.625	10.07
GCF_000270285.1	5.189	8.626	8.751
GCF_000211475.1	7.527	8.644	7.891
GCF_000263735.1	7.609	8.644	8.685
GCF_000015005.1	2.855	8.646	9.112
GCF_000245355.1	2.586	8.66	8.939
GCF_000177255.2	2.56	8.678	8.222
GCF_000020445.1	2.979	8.678	8.222
GCF_000024725.1	4.152	8.687	9.328
GCF_000154785.2	2.913	8.687	10.062
GCF_000266905.1	2.846	8.694	9.361
GCF_000024165.1	3.884	8.727	9.034
GCF_000092985.1	3.326	8.728	10.495
GCF_000011365.1	2.474	8.746	9.189
GCF_000186345.1	4.541	8.754	9.47
GCF_000217995.1	6.514	8.759	8.892
GCF_000236665.1	3.415	8.765	9.967
GCF_000478885.1	5.601	8.79	8.983
GCF_000022045.1	3.796	8.807	8.482
GCF_000184685.1	3.257	8.807	10.598
GCF_000235565.1	7.104	8.807	9.113
GCF_000218625.1	4.923	8.811	10.254
GCF_000010985.1	5.091	8.844	9.592
GCF_000008125.1	4.708	8.859	10.274
GCF_000025725.1	5.418	8.867	10.061
GCF_000017725.2	6.317	8.898	9.991
GCF_000198515.1	4.249	8.921	9.164
GCF_000243155.2	4.386	8.931	10.273
GCF_000024545.1	3.678	8.963	9.546
GCF_000021765.1	3.55	8.982	10.14
GCF_000009905.1	4.64	8.997	10.156
GCF_000019185.1	3.559	9.016	10.406
GCF_000304315.1	3.983	9.035	8.828
GCF_000157895.3	3.16	9.047	9.801
GCF_000243075.1	3.333	9.063	8.776
GCF_000284255.1	3.35	9.066	9.212
GCF_000190635.1	5.258	9.137	8.499
GCF_000092405.1	5.505	9.199	9.096
GCF_000024885.1	7.136	9.203	10.129
GCF_000014045.1	3.43	9.204	10.675
GCF_000265295.1	6.684	9.205	10.376
GCF_000349945.1	3.78	9.207	9.527
GCF_000151105.2	7.741	9.21	9.331
GCF_000242895.2	3.146	9.211	10.719
GCF_000294515.1	3.821	9.223	10.744
GCF_000204115.1	4.142	9.241	9.748
GCF_000013405.1	6.093	9.249	9.829
GCF_000221185.1	8.198	9.259	9.189
GCF_000195335.1	5.279	9.271	10.922
GCF_000215995.1	8.24	9.307	8.67
GCF_000018365.1	8.308	9.307	10.091
GCF_000025665.1	8.156	9.315	9.177
GCF_000092905.1	4.767	9.384	11.645
GCF_000021865.1	3.849	9.437	10.012
GCF_000020325.1	7.035	9.456	8.383
GCF_000023885.1	5.271	9.469	9.557
GCF_000019365.1	3.514	9.483	10.271
GCF_000007985.2	5.695	9.551	10.286
GCF_000015585.1	4.793	9.554	10.041
GCF_000242455.2	4.37	9.559	10.005
GCF_000012425.1	3.941	9.56	9.967
GCF_000183405.1	5.837	9.605	9.994
GCF_000092305.1	8.11	9.608	10.629
GCF_000243135.2	5.278	9.668	10.185
GCF_000010045.1	4.813	9.673	10.214
GCF_000016605.1	6.753	9.677	10.974
GCF_000020725.1	5.401	9.71	10.198
GCF_000023645.1	5.692	9.71	10.227
GCF_000012925.1	4.556	9.715	10.227
GCF_000016745.1	5.334	9.715	10.227
GCF_000187005.1	5.447	9.717	10.805
GCF_000203895.1	3.79	9.748	10.163
GCF_000014785.1	5.308	9.868	10.962
GCF_000024845.1	5.574	9.869	9.718
GCF_000223395.1	8.862	9.872	10.759
GCF_000018625.1	4.356	9.902	10.326
GCF_000418325.1	4.223	9.921	10.879
GCF_000062885.1	4.069	9.934	10.394
GCF_000147355.1	7.651	9.955	10.785
GCF_000024265.1	5.922	9.986	9.387
GCF_000020385.1	6.524	10.066	10.555
GCF_000022265.1	5.51	10.068	10.667
GCF_000175115.2	5.829	10.068	10.667
GCF_000309885.1	5.612	10.07	11.245
GCF_000024865.1	4.128	10.09	11.603
GCF_000186245.1	7.414	10.111	11.171
GCF_000092125.1	5.105	10.118	11.317
GCF_000018345.1	4.267	10.123	10.799
GCF_000020525.1	6.913	10.128	10.337
GCF_000190315.1	7.544	10.131	11.902
GCF_000015145.1	9.23	10.161	10.326
GCF_000010345.1	7.437	10.164	11.271
GCF_000251105.1	7.297	10.171	10.489
GCF_000021545.1	7.907	10.179	9.474
GCF_000016405.1	4.504	10.193	10.303
GCF_000015205.1	8.15	10.229	11.782
GCF_000013385.1	5.633	10.236	11.691
GCF_000185805.1	7.886	10.314	10.399
GCF_000008625.1	7.631	10.393	10.536
GCF_000021945.1	6.291	10.411	10.776
GCF_000024625.1	8.847	10.414	10.61
GCF_000013105.1	8.447	10.472	10.837
GCF_000012965.1	7.988	10.528	11.41
GCF_000012485.1	7.742	10.53	10.746
GCF_000016085.1	8.116	10.533	10.828
GCF_000025605.1	8.087	10.555	11.824
GCF_000017805.1	5.58	10.572	11.065
GCF_000016665.1	5.58	10.572	11.065
GCF_000067165.1	5.114	10.654	11.061
GCF_000063445.1	7.645	10.687	10.447
GCF_000020625.1	8.362	10.827	10.973
GCF_000183725.1	8.168	10.847	11.775
GCF_000092245.1	6.395	10.858	11.088
GCF_000025545.1	7.406	10.925	12.03
GCF_000020785.1	9.319	11.056	12.147
GCF_000014865.1	6.864	11.076	11.335
GCF_000191045.1	8.783	11.157	11.065
GCF_000020505.1	8.288	11.244	10.987
GCF_000193375.1	8.705	11.248	12.55
GCF_000009985.1	6.094	11.275	11.754
GCF_000010405.1	8.94	11.306	12.139
GCF_000020805.1	6.327	11.323	11.722
GCF_000281175.1	6.159	11.457	11.929
GCF_000017505.1	6.463	11.531	12.479
GCF_000018405.1	8.007	11.557	12.357
GCF_000092945.1	9.011	11.583	11.682
GCF_000010325.1	8.51	11.614	11.761
GCF_000214095.2	7.436	11.646	11.815
GCF_000020465.1	9.23	11.715	11.792
GCF_000015125.1	8.974	11.715	11.806
GCF_000253055.1	9.906	11.81	13.305
GCF_000025505.1	8.541	11.928	12.392
GCF_000021565.1	9.754	12.059	11.402
GCF_000212395.1	10.012	12.228	13.449
GCF_000016165.1	8.706	12.336	12.133
GCF_000148385.1	10.112	12.431	14.108
GCF_000385565.1	9.569	12.459	13.955
GCF_000012865.1	8.907	12.623	13.092
GCF_000215975.1	10.772	12.94	14.402
GCF_000010785.1	10.157	12.954	13.05
GCF_000025945.1	10.151	13.066	14.199
GCF_000176915.2	9.971	13.097	14.611
GCF_000266945.1	8.238	13.145	14.639
GCF_000189295.2	9.487	13.155	14.478
GCF_000025705.1	8.373	13.193	13.873
GCF_000024205.1	9.615	13.473	13.878
GCF_000212675.2	10.479	13.486	14.67
GCF_000024605.1	12.508	13.613	14.217
GCF_000018425.1	11.972	13.613	13.904
GCF_000215085.1	10.187	13.634	14.326
GCF_000233715.2	9.528	13.642	14.174
GCF_000143965.1	9.607	13.652	14.049
GCF_000255115.2	8.91	13.661	14.212
GCF_000022125.1	11.034	13.661	14.139
GCF_000195295.1	10.947	13.683	14.335
GCF_000020365.1	9.317	13.699	14.201
GCF_000186885.1	9.442	13.699	14.246
GCF_000231385.2	9.06	13.807	14.285
GCF_000235605.1	9.128	13.812	14.079
GCF_000024325.1	11.511	13.816	14.441
GCF_000012665.1	11.5	13.834	14.333
GCF_000008665.1	10.229	13.839	14.67
GCF_000021905.1	9.284	13.839	14.611
GCF_000307105.1	10.574	13.839	14.331
GCF_000021385.1	11.093	13.839	14.611
GCF_000020985.1	10.793	13.839	14.153
GCF_000092205.1	10.574	13.841	14.497
GCF_000217795.1	10.851	13.866	14.395
GCF_000025285.1	12.024	13.87	14.15
GCF_000194625.1	10.89	13.887	14.366
GCF_000010665.1	10.322	13.887	14.611
GCF_000023445.1	10.923	13.897	14.419
GCF_000023225.1	10.495	13.983	14.372
GCF_000297055.2	10.699	14.007	15.02
GCF_000341395.1	10.202	14.163	14.924
GCF_000014965.1	10.342	14.236	15.028
GCF_000006985.1	11.354	14.253	14.25
GCF_000020545.1	11.649	14.283	14.456
GCF_000327045.1	9.756	14.39	14.799
GCF_000025485.1	10.737	14.453	14.512
GCF_000012585.1	11.625	14.51	14.843
GCF_000020645.1	11.836	14.666	15.072
GCF_000321415.2	10.846	14.893	15.08
GCF_000012745.1	11.61	15.194	15.205
GCF_000227745.2	10.633	15.296	15.245

